arrond;capacity;avail. bike
75101;768;513
75102;660;404
75103;389;283
75104;634;371
75105;1203;714
75106;1032;720
75107;1010;704
75108;1481;992
75109;1172;491
75110;1583;435
75111;1972;662
75112;2726;1444
75113;2320;961
75114;1783;132
75115;3342;1668
75116;2205;826
75117;2176;564
75118;1894;295
75119;1812;255
75120;1909;117
92004;180;83
92007;141;21
92009;84;33
92012;880;396
92014;55;17
92020;148;37
92022;62;30
92023;74;19
92024;400;216
92025;120;88
92026;193;54
92032;122;35
92035;128;24
92036;126;86
92040;495;311
92044;359;215
92046;238;40
92048;107;32
92049;283;50
92050;222;119
92051;378;173
92062;58;32
92063;195;81
92064;79;26
92071;90;20
92072;118;2
92073;264;22
92075;258;19
92077;24;1
93001;404;145
93006;208;14
93008;19;14
93045;233;9
93048;792;103
93053;58;28
93055;563;85
93061;42;0
93063;67;16
93064;124;49
93066;516;291
93070;269;136
94002;122;55
94003;120;26
94016;112;61
94017;121;70
94018;248;62
94022;79;33
94033;349;60
94037;119;44
94041;579;226
94042;124;78
94043;150;28
94046;180;94
94052;131;44
94067;119;24
94069;44;21
94076;254;31
94080;278;137
94081;482;175
95018;95;73
