arrond;capacity;avail. bike
75101;768;189
75102;660;154
75103;389;206
75104;634;347
75105;1203;370
75106;1032;384
75107;1010;444
75108;1481;355
75109;1172;268
75110;1583;472
75111;1972;859
75112;2726;1433
75113;2320;812
75114;1783;219
75115;3342;1799
75116;2205;651
75117;2176;587
75118;1894;483
75119;1812;310
75120;1909;196
92004;180;108
92007;141;21
92009;84;39
92012;880;373
92014;55;13
92020;148;46
92022;62;31
92023;74;16
92024;400;234
92025;120;91
92026;193;53
92032;122;40
92035;128;32
92036;126;81
92040;495;288
92044;359;164
92046;238;45
92048;107;44
92049;283;93
92050;222;103
92051;378;114
92062;58;19
92063;195;77
92064;79;25
92071;90;23
92072;118;6
92073;264;24
92075;258;40
92077;24;3
93001;404;161
93006;208;29
93008;19;12
93045;233;16
93048;792;121
93053;58;31
93055;563;124
93061;42;4
93063;67;23
93064;124;53
93066;516;264
93070;269;154
94002;122;49
94003;120;32
94016;112;63
94017;121;71
94018;248;79
94022;79;32
94033;349;79
94037;119;55
94041;579;254
94042;124;62
94043;150;45
94046;180;103
94052;131;48
94067;119;35
94069;44;32
94076;254;36
94080;278;126
94081;482;181
95018;95;73
