arrond;capacity;avail. bike
75101;768;226
75102;660;201
75103;389;191
75104;634;321
75105;1203;365
75106;1032;346
75107;1010;529
75108;1481;336
75109;1172;264
75110;1583;497
75111;1972;1103
75112;2726;1455
75113;2320;958
75114;1783;393
75115;3342;1935
75116;2205;785
75117;2176;714
75118;1894;764
75119;1812;498
75120;1909;493
92004;180;133
92007;141;27
92009;84;32
92012;880;410
92014;55;22
92020;148;37
92022;62;32
92023;74;18
92024;400;253
92025;120;90
92026;193;75
92032;122;38
92035;128;39
92036;126;77
92040;495;341
92044;359;149
92046;238;76
92048;107;52
92049;283;56
92050;222;101
92051;378;136
92062;58;37
92063;195;80
92064;79;22
92071;90;30
92072;118;14
92073;264;40
92075;258;68
92077;24;3
93001;404;167
93006;208;43
93008;19;13
93045;233;21
93048;792;207
93053;58;25
93055;563;145
93061;42;15
93063;67;32
93064;124;62
93066;516;270
93070;269;162
94002;122;66
94003;120;40
94016;112;63
94017;121;75
94018;248;87
94022;79;34
94033;349;131
94037;119;71
94041;579;345
94042;124;65
94043;150;39
94046;180;105
94052;131;49
94067;119;50
94069;44;31
94076;254;63
94080;278;44
94081;482;234
95018;95;75
