arrond;capacity;avail. bike
75101;768;381
75102;660;295
75103;389;308
75104;634;480
75105;1203;384
75106;1032;373
75107;1010;374
75108;1481;183
75109;1172;466
75110;1583;666
75111;1972;1177
75112;2726;1328
75113;2320;670
75114;1783;299
75115;3342;1873
75116;2205;599
75117;2176;649
75118;1894;685
75119;1812;483
75120;1909;440
92004;180;129
92007;141;25
92009;84;39
92012;880;363
92014;55;8
92020;148;40
92022;62;32
92023;74;25
92024;400;197
92025;120;92
92026;193;75
92032;122;42
92035;128;33
92036;126;68
92040;495;250
92044;359;152
92046;238;65
92048;107;47
92049;283;54
92050;222;104
92051;378;98
92062;58;24
92063;195;75
92064;79;8
92071;90;30
92072;118;9
92073;264;32
92075;258;75
92077;24;3
93001;404;135
93006;208;40
93008;19;6
93045;233;25
93048;792;156
93053;58;28
93055;563;129
93061;42;11
93063;67;26
93064;124;60
93066;516;179
93070;269;144
94002;122;70
94003;120;28
94016;112;52
94017;121;74
94018;248;88
94022;79;32
94033;349;126
94037;119;64
94041;579;316
94042;124;67
94043;150;55
94046;180;102
94052;131;38
94067;119;38
94069;44;29
94076;254;45
94080;278;44
94081;482;216
95018;95;74
