arrond;capacity;avail. bike
75101;768;444
75102;660;328
75103;389;290
75104;634;425
75105;1203;508
75106;1032;488
75107;1010;451
75108;1481;463
75109;1172;444
75110;1583;500
75111;1972;937
75112;2726;1563
75113;2320;819
75114;1783;268
75115;3342;1691
75116;2205;722
75117;2176;528
75118;1894;390
75119;1812;358
75120;1909;276
92004;180;105
92007;141;21
92009;84;33
92012;880;372
92014;55;16
92020;148;40
92022;62;31
92023;74;12
92024;400;206
92025;120;97
92026;193;60
92032;122;38
92035;128;32
92036;126;83
92040;495;301
92044;359;152
92046;238;51
92048;107;43
92049;283;26
92050;222;98
92051;378;128
92062;58;32
92063;195;82
92064;79;19
92071;90;25
92072;118;6
92073;264;20
92075;258;36
92077;24;2
93001;404;99
93006;208;16
93008;19;14
93045;233;10
93048;792;120
93053;58;26
93055;563;80
93061;42;5
93063;67;23
93064;124;54
93066;516;235
93070;269;149
94002;122;61
94003;120;20
94016;112;49
94017;121;72
94018;248;72
94022;79;36
94033;349;80
94037;119;60
94041;579;227
94042;124;68
94043;150;18
94046;180;97
94052;131;40
94067;119;33
94069;44;22
94076;254;26
94080;278;46
94081;482;207
95018;95;74
