arrond;capacity;avail. bike;ratio_pop;ratio_pop_log2;ratio_pop_log10;ratio_avail;ratio_avail_glob;ratio_avail_log2;ratio_avail_log10
75101;768;470;0.026704545454545453;0.03802107733993987;0.011445484746781993;0.6119791666666666;0.01045536449180255;0.6888330984931084;0.2073594246525871
75102;660;377;0.016830357142857143;0.0240790072943076;0.007248503461398387;0.5712121212121212;0.008386537049807578;0.65187796456741;0.1962348208471723
75103;389;310;0.008683473389355743;0.012473525273818401;0.003754905259092113;0.7969151670951157;0.006896091473316575;0.8455223003892446;0.2545275744199737
75104;634;451;0.01599290780141844;0.022890331327170752;0.006890676340165305;0.7113564668769716;0.01003270082085734;0.7751402971924344;0.2333404803028156
75105;1203;575;0.00934959349593496;0.013425945950238534;0.004041612451185151;0.4779717373233583;0.01279113741018397;0.5636186816536936;0.16966612929435015
75106;1032;519;0.012041763341067286;0.01726882612100192;0.005198434652327254;0.502906976744186;0.01154539185371388;0.5877557156128367;0.1769321005224124
75107;1010;448;0.007804878048780488;0.011216344472251134;0.0033764561278474777;0.44356435643564357;0.009965964451760729;0.52963542668778;0.15943615019931323
75108;1481;404;0.010024813895781639;0.014390736981663373;0.004332043491191619;0.27278865631330185;0.008987164371677086;0.34799288286717883;0.10475629602060316
75109;1172;444;0.00736318407960199;0.010583911157030855;0.003186074729708961;0.378839590443686;0.009876982626298578;0.4634546283295469;0.13951374475649553
75110;1583;581;0.006058394160583942;0.00871404522390624;0.0026231889959682313;0.36702463676563485;0.012924610148377194;0.45103924368963416;0.1357763415721759
75111;1972;1150;0.007531106745252128;0.01082438153669332;0.0032584635270560677;0.5831643002028397;0.02558227482036794;0.6628109855999973;0.19952598812120625
75112;2726;1500;0.010496850944716585;0.01506482579135444;0.00453496444265006;0.5502567865003668;0.03336818454830601;0.6325072051297309;0.19040364121763978
75113;2320;862;0.004736263736263736;0.006816853709136098;0.002052077442503234;0.371551724137931;0.019175583387093187;0.45580903031611336;0.13721219041966307
75114;1783;279;0.002033527696793003;0.0029307814200085812;0.0008822531181572599;0.15647784632641615;0.006206482325984917;0.2097376297431136;0.06313731777214318
75115;3342;1826;0.007720930232558139;0.01109616630561094;0.0033402788948648753;0.5463794135248354;0.04062020332347118;0.628894336632737;0.18931605942965513
75116;2205;685;0.004043683589138134;0.005822038936519713;0.0017526083558160588;0.31065759637188206;0.015238137610393077;0.3902908369431582;0.11748924895269051
75117;2176;598;0.0035489614243323442;0.005111005022340484;0.001538565819713742;0.27481617647058826;0.013302782906591329;0.35028923107326343;0.10544756571112379
