arrond;capacity;avail. bike
75101;768;562
75102;660;445
75103;389;238
75104;634;432
75105;1203;433
75106;1032;439
75107;1010;559
75108;1481;687
75109;1172;455
75110;1583;376
75111;1972;623
75112;2726;1170
75113;2320;657
75114;1783;227
75115;3342;1497
75116;2205;523
75117;2176;382
75118;1894;303
75119;1812;241
75120;1909;181
92004;180;86
92007;141;19
92009;84;34
92012;880;299
92014;55;18
92020;148;45
92022;62;28
92023;74;11
92024;400;162
92025;120;76
92026;193;62
92032;122;35
92035;128;27
92036;126;60
92040;495;284
92044;359;188
92046;238;42
92048;107;36
92049;283;46
92050;222;110
92051;378;127
92062;58;28
92063;195;77
92064;79;14
92071;90;22
92072;118;9
92073;264;28
92075;258;44
92077;24;1
93001;404;118
93006;208;18
93008;19;7
93045;233;10
93048;792;85
93053;58;24
93055;563;80
93061;42;6
93063;67;18
93064;124;56
93066;516;216
93070;269;128
94002;122;54
94003;120;23
94016;112;47
94017;121;69
94018;248;68
94022;79;35
94033;349;80
94037;119;45
94041;579;231
94042;124;70
94043;150;15
94046;180;88
94052;131;26
94067;119;13
94069;44;17
94076;254;16
94080;278;25
94081;482;160
95018;95;73
