arrond;capacity;avail. bike
75101;768;452
75102;660;361
75103;389;318
75104;634;440
75105;1203;520
75106;1032;503
75107;1010;449
75108;1481;456
75109;1172;457
75110;1583;509
75111;1972;996
75112;2726;1551
75113;2320;830
75114;1783;258
75115;3342;1720
75116;2205;712
75117;2176;542
75118;1894;408
75119;1812;368
75120;1909;293
92004;180;105
92007;141;23
92009;84;33
92012;880;377
92014;55;15
92020;148;36
92022;62;31
92023;74;12
92024;400;203
92025;120;97
92026;193;59
92032;122;38
92035;128;32
92036;126;80
92040;495;305
92044;359;147
92046;238;58
92048;107;44
92049;283;26
92050;222;97
92051;378;118
92062;58;31
92063;195;82
92064;79;17
92071;90;24
92072;118;8
92073;264;22
92075;258;33
92077;24;2
93001;404;101
93006;208;17
93008;19;15
93045;233;8
93048;792;124
93053;58;26
93055;563;77
93061;42;6
93063;67;23
93064;124;54
93066;516;238
93070;269;148
94002;122;60
94003;120;25
94016;112;50
94017;121;72
94018;248;68
94022;79;34
94033;349;80
94037;119;64
94041;579;224
94042;124;69
94043;150;18
94046;180;97
94052;131;40
94067;119;28
94069;44;22
94076;254;27
94080;278;55
94081;482;206
95018;95;74
