arrond;capacity;avail. bike
75101;768;595
75102;660;470
75103;389;251
75104;634;439
75105;1203;479
75106;1032;468
75107;1010;611
75108;1481;780
75109;1172;503
75110;1583;374
75111;1972;608
75112;2726;1180
75113;2320;699
75114;1783;219
75115;3342;1454
75116;2205;548
75117;2176;383
75118;1894;262
75119;1812;234
75120;1909;176
92004;180;80
92007;141;19
92009;84;34
92012;880;324
92014;55;17
92020;148;46
92022;62;27
92023;74;15
92024;400;165
92025;120;77
92026;193;55
92032;122;35
92035;128;27
92036;126;67
92040;495;297
92044;359;206
92046;238;39
92048;107;35
92049;283;53
92050;222;118
92051;378;134
92062;58;28
92063;195;77
92064;79;17
92071;90;23
92072;118;8
92073;264;32
92075;258;43
92077;24;1
93001;404;126
93006;208;17
93008;19;10
93045;233;5
93048;792;92
93053;58;23
93055;563;83
93061;42;9
93063;67;19
93064;124;57
93066;516;241
93070;269;137
94002;122;53
94003;120;24
94016;112;42
94017;121;69
94018;248;64
94022;79;35
94033;349;65
94037;119;46
94041;579;222
94042;124;73
94043;150;16
94046;180;81
94052;131;26
94067;119;14
94069;44;17
94076;254;15
94080;278;26
94081;482;164
95018;95;72
