arrond;capacity;avail. bike
75101;768;598
75102;660;486
75103;389;259
75104;634;441
75105;1203;503
75106;1032;493
75107;1010;633
75108;1481;806
75109;1172;522
75110;1583;373
75111;1972;606
75112;2726;1191
75113;2320;736
75114;1783;214
75115;3342;1466
75116;2205;554
75117;2176;374
75118;1894;274
75119;1812;227
75120;1909;171
92004;180;80
92007;141;17
92009;84;36
92012;880;334
92014;55;18
92020;148;46
92022;62;25
92023;74;16
92024;400;164
92025;120;78
92026;193;54
92032;122;36
92035;128;27
92036;126;70
92040;495;296
92044;359;219
92046;238;44
92048;107;34
92049;283;56
92050;222;120
92051;378;132
92062;58;30
92063;195;77
92064;79;17
92071;90;23
92072;118;9
92073;264;31
92075;258;43
92077;24;3
93001;404;132
93006;208;15
93008;19;10
93045;233;5
93048;792;92
93053;58;23
93055;563;78
93061;42;9
93063;67;20
93064;124;57
93066;516;240
93070;269;139
94002;122;51
94003;120;24
94016;112;44
94017;121;70
94018;248;64
94022;79;35
94033;349;66
94037;119;47
94041;579;218
94042;124;74
94043;150;18
94046;180;84
94052;131;26
94067;119;15
94069;44;16
94076;254;17
94080;278;27
94081;482;165
95018;95;72
