arrond;capacity;avail. bike
75101;768;414
75102;660;315
75103;389;286
75104;634;413
75105;1203;518
75106;1032;467
75107;1010;481
75108;1481;373
75109;1172;391
75110;1583;613
75111;1972;1141
75112;2726;1423
75113;2320;880
75114;1783;278
75115;3342;1796
75116;2205;726
75117;2176;614
75118;1894;572
75119;1812;367
75120;1909;427
92004;180;120
92007;141;27
92009;84;37
92012;880;387
92014;55;19
92020;148;32
92022;62;31
92023;74;14
92024;400;226
92025;120;97
92026;193;57
92032;122;37
92035;128;30
92036;126;83
92040;495;315
92044;359;142
92046;238;58
92048;107;44
92049;283;30
92050;222;103
92051;378;127
92062;58;34
92063;195;76
92064;79;17
92071;90;28
92072;118;11
92073;264;29
92075;258;34
92077;24;2
93001;404;119
93006;208;29
93008;19;13
93045;233;17
93048;792;148
93053;58;26
93055;563;90
93061;42;6
93063;67;21
93064;124;58
93066;516;234
93070;269;147
94002;122;68
94003;120;29
94016;112;52
94017;121;73
94018;248;70
94022;79;33
94033;349;98
94037;119;76
94041;579;270
94042;124;68
94043;150;23
94046;180;100
94052;131;45
94067;119;30
94069;44;23
94076;254;40
94080;278;56
94081;482;218
95018;95;73
