arrond;capacity;avail. bike
75101;768;3
75102;660;0
75103;389;-9
75104;634;-8
75105;1203;6
75106;1032;-2
75107;1010;-6
75108;1481;4
75109;1172;7
75110;1583;0
75111;1972;8
75112;2726;8
75113;2320;3
75114;1783;5
75115;3342;13
75116;2205;4
75117;2176;2
75118;1894;5
75119;1812;3
75120;1909;9
92004;180;0
92007;141;0
92009;84;1
92012;880;3
92014;55;0
92020;148;0
92022;62;0
92023;74;0
92024;400;0
92025;120;0
92026;193;1
92032;122;0
92035;128;0
92036;126;0
92040;495;3
92044;359;1
92046;238;1
92048;107;0
92049;283;0
92050;222;0
92051;378;1
92062;58;0
92063;195;0
92064;79;0
92071;90;0
92072;118;0
92073;264;0
92075;258;-1
92077;24;0
93001;404;1
93006;208;2
93008;19;0
93045;233;2
93048;792;0
93053;58;1
93055;563;3
93061;42;0
93063;67;1
93064;124;0
93066;516;16
93070;269;-1
94002;122;0
94003;120;0
94016;112;1
94017;121;0
94018;248;1
94022;79;0
94033;349;3
94037;119;0
94041;579;-8
94042;124;0
94043;150;0
94046;180;1
94052;131;0
94067;119;1
94069;44;0
94076;254;-4
94080;278;2
94081;482;-14
95018;95;0
