arrond;capacity;avail. bike
75101;768;535
75102;660;422
75103;389;252
75104;634;454
75105;1203;427
75106;1032;441
75107;1010;541
75108;1481;614
75109;1172;433
75110;1583;401
75111;1972;642
75112;2726;1179
75113;2320;639
75114;1783;241
75115;3342;1511
75116;2205;528
75117;2176;394
75118;1894;309
75119;1812;256
75120;1909;198
92004;180;94
92007;141;20
92009;84;35
92012;880;293
92014;55;18
92020;148;42
92022;62;29
92023;74;11
92024;400;161
92025;120;76
92026;193;57
92032;122;35
92035;128;28
92036;126;58
92040;495;271
92044;359;182
92046;238;48
92048;107;39
92049;283;50
92050;222;112
92051;378;115
92062;58;26
92063;195;79
92064;79;11
92071;90;22
92072;118;9
92073;264;26
92075;258;45
92077;24;1
93001;404;116
93006;208;19
93008;19;7
93045;233;13
93048;792;70
93053;58;25
93055;563;93
93061;42;12
93063;67;17
93064;124;55
93066;516;211
93070;269;131
94002;122;52
94003;120;22
94016;112;47
94017;121;68
94018;248;75
94022;79;33
94033;349;75
94037;119;49
94041;579;223
94042;124;72
94043;150;16
94046;180;87
94052;131;26
94067;119;10
94069;44;18
94076;254;22
94080;278;16
94081;482;163
95018;95;73
