arrond;capacity;avail. bike
75101;768;-13
75102;660;-9
75103;389;-11
75104;634;-25
75105;1203;-8
75106;1032;-21
75107;1010;-10
75108;1481;-17
75109;1172;-11
75110;1583;-40
75111;1972;-51
75112;2726;-11
75113;2320;-25
75114;1783;-28
75115;3342;-29
75116;2205;-34
75117;2176;-32
75118;1894;-37
75119;1812;-42
75120;1909;-34
92004;180;-4
92007;141;-1
92009;84;-1
92012;880;-7
92014;55;0
92020;148;-3
92022;62;-1
92023;74;-1
92024;400;-24
92025;120;-1
92026;193;-8
92032;122;-4
92035;128;-1
92036;126;0
92040;495;-6
92044;359;-9
92046;238;-8
92048;107;-3
92049;283;2
92050;222;-7
92051;378;-9
92062;58;-2
92063;195;-8
92064;79;-2
92071;90;-7
92072;118;-1
92073;264;-9
92075;258;-7
92077;24;-1
93001;404;-11
93006;208;-5
93008;19;-2
93045;233;-2
93048;792;-8
93053;58;-5
93055;563;-11
93061;42;0
93063;67;-1
93064;124;-3
93066;516;-17
93070;269;-14
94002;122;-1
94003;120;-3
94016;112;-1
94017;121;0
94018;248;-3
94022;79;0
94033;349;-5
94037;119;-1
94041;579;-12
94042;124;-3
94043;150;1
94046;180;-4
94052;131;-1
94067;119;-1
94069;44;0
94076;254;-1
94080;278;-1
94081;482;-5
95018;95;0
