arrond;capacity;avail. bike
75101;768;496
75102;660;411
75103;389;272
75104;634;369
75105;1203;706
75106;1032;733
75107;1010;720
75108;1481;976
75109;1172;479
75110;1583;440
75111;1972;648
75112;2726;1456
75113;2320;968
75114;1783;106
75115;3342;1660
75116;2205;842
75117;2176;554
75118;1894;279
75119;1812;268
75120;1909;109
92004;180;86
92007;141;21
92009;84;35
92012;880;413
92014;55;15
92020;148;36
92022;62;30
92023;74;18
92024;400;216
92025;120;88
92026;193;54
92032;122;36
92035;128;24
92036;126;87
92040;495;302
92044;359;207
92046;238;36
92048;107;37
92049;283;56
92050;222;116
92051;378;170
92062;58;32
92063;195;80
92064;79;26
92071;90;22
92072;118;2
92073;264;24
92075;258;25
92077;24;1
93001;404;149
93006;208;16
93008;19;15
93045;233;6
93048;792;93
93053;58;28
93055;563;86
93061;42;0
93063;67;14
93064;124;50
93066;516;286
93070;269;131
94002;122;57
94003;120;20
94016;112;60
94017;121;70
94018;248;56
94022;79;33
94033;349;59
94037;119;44
94041;579;228
94042;124;76
94043;150;26
94046;180;92
94052;131;45
94067;119;30
94069;44;24
94076;254;27
94080;278;143
94081;482;168
95018;95;73
