arrond;capacity;avail. bike
75101;768;-5
75102;660;-22
75103;389;-14
75104;634;31
75105;1203;-10
75106;1032;-5
75107;1010;-27
75108;1481;-72
75109;1172;8
75110;1583;27
75111;1972;63
75112;2726;83
75113;2320;-11
75114;1783;36
75115;3342;61
75116;2205;18
75117;2176;34
75118;1894;79
75119;1812;35
75120;1909;18
92004;180;1
92007;141;0
92009;84;-1
92012;880;17
92014;55;0
92020;148;2
92022;62;0
92023;74;-2
92024;400;23
92025;120;-2
92026;193;13
92032;122;3
92035;128;0
92036;126;1
92040;495;17
92044;359;6
92046;238;0
92048;107;7
92049;283;11
92050;222;6
92051;378;-3
92062;58;4
92063;195;9
92064;79;-4
92071;90;8
92072;118;4
92073;264;5
92075;258;1
92077;24;1
93001;404;3
93006;208;3
93008;19;3
93045;233;1
93048;792;1
93053;58;4
93055;563;6
93061;42;3
93063;67;-2
93064;124;1
93066;516;3
93070;269;9
94002;122;0
94003;120;-2
94016;112;-1
94017;121;1
94018;248;15
94022;79;0
94033;349;0
94037;119;-1
94041;579;-3
94042;124;1
94043;150;8
94046;180;6
94052;131;2
94067;119;0
94069;44;6
94076;254;-1
94080;278;-14
94081;482;10
95018;95;0
