Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
14014;Jourdan - Stade Charléty;OUI;60;57;2;0;2;OUI;OUI;2022-03-10T15:53:36+01:00;48.819428333369,2.3433353751898;Paris;
8026;Messine - Place Du Pérou;OUI;12;5;7;3;4;OUI;OUI;2022-03-10T15:57:28+01:00;48.875448033960744,2.315508019010038;Paris;
33006;André Karman - République;OUI;31;19;11;9;2;OUI;OUI;2022-03-10T15:58:22+01:00;48.91039875761846,2.3851355910301213;Aubervilliers;
17038;Grande Armée - Brunel;OUI;62;43;6;1;5;OUI;OUI;2022-03-10T15:57:24+01:00;48.876116,2.288124;Paris;
7003;Square Boucicaut;OUI;60;5;55;43;12;OUI;OUI;2022-03-10T15:57:35+01:00;48.851296433665276,2.325061820447445;Paris;
7001;Invalides - Duroc;OUI;29;24;3;0;3;OUI;OUI;2022-03-10T15:58:21+01:00;48.8477924732952,2.3161920905113225;Paris;
5016;Thouin - Cardinal Lemoine;OUI;17;5;12;0;12;OUI;OUI;2022-03-10T15:56:58+01:00;48.84504716661511,2.3494647851273465;Paris;
17025;Chazelles - Courcelles;OUI;35;27;8;4;4;OUI;OUI;2022-03-10T15:57:16+01:00;48.879406604954,2.3034455627202988;Paris;
13101;Croulebarde - Corvisart;OUI;34;23;10;9;1;OUI;OUI;2022-03-10T15:56:34+01:00;48.830981659316855,2.3481646925210953;Paris;
20143;Ramponeau - Belleville;OUI;44;41;3;0;3;OUI;OUI;2022-03-10T15:53:45+01:00;48.871031137596006,2.3790568521139748;Paris;
31024;Romainville - Vaillant-Couturier;OUI;38;33;2;1;1;OUI;OUI;2022-03-10T15:49:00+01:00;48.86785,2.446748;Montreuil;
15026;Bir Hakeim;OUI;33;8;25;14;11;OUI;OUI;2022-03-10T15:57:27+01:00;48.853844054333514,2.289705348222022;Paris;
47007;Liberté - Vert-de-Maisons;OUI;20;12;8;2;6;OUI;OUI;2022-03-10T15:56:36+01:00;48.79014780960843,2.43286281824112;Maisons-Alfort;
17044;Porte de Saint-Ouen - Bessières;OUI;42;37;5;5;0;OUI;OUI;2022-03-10T15:50:48+01:00;48.89792240854517,2.32851451022192;Paris;
19033;Cambrai - Benjamin Constant;OUI;43;37;6;5;1;OUI;OUI;2022-03-10T15:58:28+01:00;48.89594736851349,2.381133802246315;Paris;
43002;Lagny - Victor Basch;OUI;26;8;18;8;10;OUI;OUI;2022-03-10T15:57:30+01:00;48.84884147189881,2.426325418925233;Vincennes;
16138;Saint-Cloud - Hippodrome;OUI;30;17;12;7;5;OUI;OUI;2022-03-10T15:57:51+01:00;48.85772148887421,2.2549109905958176;Paris;
21216;Louis Lejeune - Barbès;OUI;25;24;1;0;1;OUI;OUI;2022-03-10T15:57:09+01:00;48.81807418981508,2.3267009854316716;Montrouge;
15068;Général Martial Valin - Pont du Garigliano;OUI;16;8;8;1;7;OUI;OUI;2022-03-10T15:54:14+01:00;48.83823094269141,2.270506024360657;Paris;
22207;Rond-point du Dr Albert Schweitzer;OUI;22;18;4;4;0;OUI;OUI;2022-03-10T15:55:45+01:00;48.78980918988166,2.3143940046429634;Bagneux;
92002;Théâtre des Amandiers - Palais des sports;OUI;24;2;22;3;19;OUI;OUI;2022-03-10T15:55:44+01:00;48.89264852683893,2.2136941552162175;Nanterre;
6029;Vaugirard - Monsieur le Prince;OUI;26;6;20;5;15;OUI;OUI;2022-03-10T15:55:38+01:00;48.848951441614176,2.3411329463124275;Paris;
2017;Caire - Dussoubs;OUI;40;0;39;36;3;OUI;OUI;2022-03-10T15:56:56+01:00;48.86785342111862,2.349364310503006;Paris;
9008;Tour d'Auvergne - Rodier;OUI;17;15;2;0;2;OUI;OUI;2022-03-10T15:57:38+01:00;48.879161,2.343698;Paris;
8103;Artois - Berri;OUI;23;2;21;9;12;OUI;OUI;2022-03-10T15:53:01+01:00;48.87393521240818,2.3064258322119713;Paris;
8048;Marceau - Chaillot;OUI;21;8;13;0;13;OUI;OUI;2022-03-10T15:52:13+01:00;48.86883394989261,2.2989967837929726;Paris;
7011;Las Cases - Bourgogne;OUI;22;2;20;16;4;OUI;OUI;2022-03-10T15:57:15+01:00;48.85909110474066,2.3185685276985173;Paris;
18111;Félix Ziem - Armand Gauthier;OUI;25;24;1;0;1;OUI;OUI;2022-03-10T15:57:03+01:00;48.88949630486821,2.333393658804396;Paris;
16110;Octave Feuillet - Albéric Magnard;OUI;21;18;3;1;2;OUI;OUI;2022-03-10T15:58:05+01:00;48.86106902949534,2.2730283066630363;Paris;
18134;Ney - Porte de Clignancourt;OUI;25;24;1;1;0;OUI;OUI;2022-03-10T15:56:25+01:00;48.8978867,2.3458001;Paris;
9014;Faubourg Montmartre - La Fayette;OUI;35;0;34;17;17;OUI;OUI;2022-03-10T15:57:26+01:00;48.87525454905335,2.340853661298752;Paris;
17032;Jean Oestreicher - Porte de Champerret;OUI;21;12;9;4;5;OUI;OUI;2022-03-10T15:56:33+01:00;48.88655580065981,2.288640439510346;Paris;
8016;Square Louis XVI;OUI;29;2;27;20;7;OUI;OUI;2022-03-10T15:57:38+01:00;48.87320440102894,2.323658830743138;Paris;
10162;Alexandre Parodi - Quai de Valmy;OUI;24;22;0;0;0;OUI;OUI;2022-03-10T15:53:47+01:00;48.87935941942529,2.366596162319184;Paris;
10115;Granges aux Belles;OUI;27;22;4;2;2;OUI;OUI;2022-03-10T15:58:27+01:00;48.8761373390584,2.3680844979417;Paris;
10029;Dunkerque - Rocroy;OUI;24;20;2;1;1;OUI;OUI;2022-03-10T15:54:59+01:00;48.880726,2.351464;Paris;
13118;Regnault - Patay;OUI;63;21;41;40;1;OUI;OUI;2022-03-10T15:56:16+01:00;48.82435782216384,2.377065159380436;Paris;
7018;Ségur - d'Estrées;OUI;19;6;13;6;7;OUI;OUI;2022-03-10T15:57:30+01:00;48.85141997898257,2.3097044974565506;Paris;
9002;Abbeville - Faubourg Poissonnière;OUI;14;11;2;1;1;OUI;OUI;2022-03-10T15:57:32+01:00;48.879223,2.349147;Paris;
5022;Boulangers - Cardinal Lemoine;OUI;20;4;14;8;6;OUI;OUI;2022-03-10T15:57:59+01:00;48.8462904,2.3521495;Paris;
9106;Boudreau - Auber;OUI;14;5;9;8;1;OUI;OUI;2022-03-10T15:57:02+01:00;48.87219,2.329423;Paris;
9038;Douai - Bruxelles;OUI;27;25;1;0;1;OUI;OUI;2022-03-10T15:58:29+01:00;48.88320784122797,2.3308449949028507;Paris;
19105;Ambroise Rendu - Porte Brunet;OUI;17;14;3;0;3;OUI;OUI;2022-03-10T15:54:21+01:00;48.883667,2.395733;Paris;
31103;Gare Rosny-Bois-Perrier;OUI;36;11;24;5;19;OUI;OUI;2022-03-10T15:57:12+01:00;48.88115023337061,2.480436824262142;Rosny-sous-Bois;
6001;Institut de France;OUI;17;0;16;8;8;OUI;OUI;2022-03-10T15:56:13+01:00;48.85761567856468,2.335831353037739;Paris;
