arrond;capacity;avail. bike
75101;768;28
75102;660;18
75103;389;16
75104;634;16
75105;1203;-35
75106;1032;0
75107;1010;-16
75108;1481;-71
75109;1172;16
75110;1583;22
75111;1972;47
75112;2726;8
75113;2320;18
75114;1783;31
75115;3342;11
75116;2205;-1
75117;2176;1
75118;1894;-1
75119;1812;29
75120;1909;33
92004;180;-2
92007;141;3
92009;84;1
92012;880;1
92014;55;0
92020;148;2
92022;62;-2
92023;74;0
92024;400;-4
92025;120;1
92026;193;6
92032;122;0
92035;128;0
92036;126;4
92040;495;-7
92044;359;14
92046;238;9
92048;107;3
92049;283;1
92050;222;-3
92051;378;4
92062;58;0
92063;195;-1
92064;79;0
92071;90;2
92072;118;0
92073;264;-1
92075;258;8
92077;24;0
93001;404;8
93006;208;2
93008;19;1
93045;233;2
93048;792;8
93053;58;0
93055;563;-7
93061;42;1
93063;67;1
93064;124;0
93066;516;0
93070;269;-5
94002;122;1
94003;120;4
94016;112;0
94017;121;1
94018;248;2
94022;79;0
94033;349;5
94037;119;0
94041;579;2
94042;124;-2
94043;150;-6
94046;180;2
94052;131;-1
94067;119;1
94069;44;-1
94076;254;6
94080;278;-8
94081;482;5
95018;95;0
