arrond;capacity;avail. bike
75101;768;14
75102;660;13
75103;389;20
75104;634;-5
75105;1203;40
75106;1032;43
75107;1010;12
75108;1481;56
75109;1172;37
75110;1583;-38
75111;1972;-63
75112;2726;-17
75113;2320;-51
75114;1783;-87
75115;3342;-92
75116;2205;-22
75117;2176;-78
75118;1894;-161
75119;1812;-115
75120;1909;-123
92004;180;-10
92007;141;-7
92009;84;-7
92012;880;-19
92014;55;1
92020;148;-1
92022;62;-2
92023;74;0
92024;400;-13
92025;120;0
92026;193;-11
92032;122;-2
92035;128;-5
92036;126;-4
92040;495;-15
92044;359;-15
92046;238;-19
92048;107;-1
92049;283;-21
92050;222;-2
92051;378;8
92062;58;-5
92063;195;-1
92064;79;4
92071;90;0
92072;118;-2
92073;264;-6
92075;258;-4
92077;24;-1
93001;404;-7
93006;208;-12
93008;19;1
93045;233;-7
93048;792;-31
93053;58;1
93055;563;1
93061;42;-5
93063;67;-11
93064;124;-3
93066;516;3
93070;269;-5
94002;122;-3
94003;120;-9
94016;112;0
94017;121;-4
94018;248;-10
94022;79;-1
94033;349;-20
94037;119;-12
94041;579;-38
94042;124;-1
94043;150;-13
94046;180;-8
94052;131;3
94067;119;-18
94069;44;-4
94076;254;-9
94080;278;32
94081;482;-17
95018;95;-1
