Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
;;OUI;;9;23;;;OUI;OUI;2022-03-10T17:51:22+01:00;;;
;;OUI;;1;35;;;OUI;OUI;2022-03-10T17:56:41+01:00;;;
;;OUI;;17;2;;;OUI;OUI;2022-03-10T17:57:10+01:00;;;
;;OUI;;1;13;;;OUI;OUI;2022-03-10T17:57:30+01:00;;;
;;OUI;;11;3;;;OUI;OUI;2022-03-10T17:58:39+01:00;;;
;;OUI;;25;2;;;OUI;OUI;2022-03-10T17:58:23+01:00;;;
;;OUI;;18;2;;;OUI;OUI;2022-03-10T17:58:15+01:00;;;
;;OUI;;1;26;;;OUI;OUI;2022-03-10T17:58:15+01:00;;;
;;OUI;;41;7;;;OUI;OUI;2022-03-10T17:58:20+01:00;;;
;;OUI;;6;11;;;OUI;OUI;2022-03-10T17:58:41+01:00;;;
;;OUI;;13;23;;;OUI;OUI;2022-03-10T17:56:10+01:00;;;
;;OUI;;16;1;;;OUI;OUI;2022-03-10T17:58:27+01:00;;;
;;OUI;;2;15;;;OUI;OUI;2022-03-10T17:57:30+01:00;;;
;;OUI;;0;33;;;OUI;OUI;2022-03-10T17:58:47+01:00;;;
;;OUI;;14;9;;;OUI;OUI;2022-03-10T17:58:33+01:00;;;
;;OUI;;22;4;;;OUI;OUI;2022-03-10T17:57:20+01:00;;;
;;OUI;;21;3;;;OUI;OUI;2022-03-10T17:58:48+01:00;;;
;;OUI;;12;3;;;OUI;OUI;2022-03-10T17:58:39+01:00;;;
;;OUI;;7;9;;;OUI;OUI;2022-03-10T17:53:39+01:00;;;
;;OUI;;17;7;;;OUI;OUI;2022-03-10T17:54:37+01:00;;;
;;OUI;;2;38;;;OUI;OUI;2022-03-10T17:58:25+01:00;;;
;;OUI;;12;21;;;OUI;OUI;2022-03-10T17:57:39+01:00;;;
;;OUI;;22;2;;;OUI;OUI;2022-03-10T17:53:49+01:00;;;
;;OUI;;11;11;;;OUI;OUI;2022-03-10T17:57:35+01:00;;;
