Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
11104;Charonne - Robert et Sonia Delauney;OUI;20;13;7;3;4;OUI;OUI;2022-03-10T15:56:41+01:00;48.85590755596891,2.3925706744194035;Paris;
16107;Benjamin Godard - Victor Hugo;OUI;35;19;16;5;11;OUI;OUI;2022-03-10T15:57:11+01:00;48.865983,2.275725;Paris;
9020;Toudouze - Clauzel;OUI;21;17;4;0;4;OUI;OUI;2022-03-10T15:57:21+01:00;48.87929591733507,2.3373600840568547;Paris;
12109;Mairie du 12ème;OUI;30;22;7;6;1;OUI;OUI;2022-03-10T15:53:35+01:00;48.84085531176338,2.3875549435615544;Paris;
14014;Jourdan - Stade Charléty;OUI;60;56;3;0;3;OUI;OUI;2022-03-10T15:53:36+01:00;48.819428333369,2.3433353751898;Paris;
5001;Harpe - Saint-Germain;OUI;45;28;16;16;0;OUI;OUI;2022-03-10T15:55:34+01:00;48.85151881501689,2.343670316040516;Paris;
10013;Alibert - Jemmapes;OUI;60;48;9;4;5;OUI;OUI;2022-03-10T15:57:30+01:00;48.8710440519842,2.366104461987773;Paris;
8026;Messine - Place Du Pérou;OUI;12;5;7;3;4;OUI;OUI;2022-03-10T15:57:28+01:00;48.875448033960744,2.315508019010038;Paris;
14111;Cassini - Denfert-Rochereau;OUI;25;21;3;0;3;OUI;OUI;2022-03-10T15:54:38+01:00;48.83752583906732,2.336035408079624;Paris;
6003;Saint-Sulpice;OUI;21;4;16;14;2;OUI;OUI;2022-03-10T15:55:14+01:00;48.85165383178419,2.3308077827095985;Paris;
13007;Le Brun - Gobelins;OUI;48;45;3;0;3;OUI;OUI;2022-03-10T15:54:48+01:00;48.835092787823875,2.353468135133752;Paris;
33006;André Karman - République;OUI;31;19;11;9;2;OUI;OUI;2022-03-10T15:58:22+01:00;48.91039875761846,2.3851355910301213;Aubervilliers;
5110;Lacépède - Monge;OUI;23;18;5;0;5;OUI;OUI;2022-03-10T15:54:16+01:00;48.84389286531899,2.3519663885235786;Paris;
42016;Pierre et Marie Curie - Maurice Thorez;OUI;27;24;3;0;3;OUI;OUI;2022-03-10T15:52:25+01:00;48.81580226360801,2.376804985105991;Ivry-sur-Seine;
6108;Saint-Romain - Cherche-Midi;OUI;17;14;3;3;0;OUI;OUI;2022-03-10T15:57:55+01:00;48.84708159081946,2.321374788880348;Paris;
6021;Beaux-Arts - Bonaparte;OUI;20;4;15;15;0;OUI;OUI;2022-03-10T15:57:27+01:00;48.856451985395786,2.334851883351803;Paris;
41301;Bois de Vincennes - Gare;OUI;50;41;7;4;3;OUI;OUI;2022-03-10T15:57:28+01:00;48.836022242886884,2.4708339950830287;Nogent-sur-Marne;
17026;Jouffroy d'Abbans - Wagram;OUI;40;27;12;5;7;OUI;OUI;2022-03-10T15:58:28+01:00;48.881973298351625,2.301132157444954;Paris;
21010;Silly - Galliéni;OUI;25;20;5;3;2;OUI;OUI;2022-03-10T15:58:15+01:00;48.835583838705936,2.2325500845909123;Boulogne-Billancourt;
7003;Square Boucicaut;OUI;60;6;54;42;12;OUI;OUI;2022-03-10T15:57:35+01:00;48.851296433665276,2.325061820447445;Paris;
