arrond;capacity;avail. bike
75101;768;461
75102;660;337
75103;389;251
75104;634;499
75105;1203;363
75106;1032;430
75107;1010;444
75108;1481;418
75109;1172;331
75110;1583;511
75111;1972;793
75112;2726;1278
75113;2320;608
75114;1783;265
75115;3342;1588
75116;2205;531
75117;2176;461
75118;1894;414
75119;1812;317
75120;1909;255
92004;180;112
92007;141;22
92009;84;38
92012;880;291
92014;55;13
92020;148;38
92022;62;30
92023;74;15
92024;400;148
92025;120;82
92026;193;59
92032;122;37
92035;128;23
92036;126;58
92040;495;253
92044;359;167
92046;238;38
92048;107;42
92049;283;35
92050;222;101
92051;378;87
92062;58;20
92063;195;77
92064;79;7
92071;90;24
92072;118;10
92073;264;28
92075;258;59
92077;24;1
93001;404;116
93006;208;32
93008;19;10
93045;233;18
93048;792;87
93053;58;28
93055;563;101
93061;42;9
93063;67;23
93064;124;57
93066;516;186
93070;269;143
94002;122;63
94003;120;25
94016;112;49
94017;121;71
94018;248;77
94022;79;31
94033;349;94
94037;119;48
94041;579;235
94042;124;70
94043;150;28
94046;180;88
94052;131;26
94067;119;20
94069;44;21
94076;254;25
94080;278;32
94081;482;175
95018;95;71
