arrond;capacity;avail. bike
75101;768;508
75102;660;391
75103;389;313
75104;634;394
75105;1203;705
75106;1032;706
75107;1010;692
75108;1481;959
75109;1172;495
75110;1583;423
75111;1972;726
75112;2726;1445
75113;2320;951
75114;1783;185
75115;3342;1641
75116;2205;846
75117;2176;541
75118;1894;305
75119;1812;226
75120;1909;159
92004;180;81
92007;141;14
92009;84;29
92012;880;400
92014;55;18
92020;148;44
92022;62;31
92023;74;16
92024;400;232
92025;120;89
92026;193;60
92032;122;36
92035;128;23
92036;126;81
92040;495;320
92044;359;221
92046;238;40
92048;107;32
92049;283;45
92050;222;117
92051;378;170
92062;58;31
92063;195;84
92064;79;23
92071;90;21
92072;118;2
92073;264;23
92075;258;26
92077;24;2
93001;404;126
93006;208;27
93008;19;14
93045;233;6
93048;792;98
93053;58;28
93055;563;87
93061;42;2
93063;67;21
93064;124;50
93066;516;293
93070;269;138
94002;122;53
94003;120;24
94016;112;64
94017;121;73
94018;248;53
94022;79;35
94033;349;63
94037;119;41
94041;579;222
94042;124;72
94043;150;31
94046;180;96
94052;131;43
94067;119;27
94069;44;20
94076;254;25
94080;278;140
94081;482;178
95018;95;75
