arrond;capacity;avail. bike
75101;768;329
75102;660;263
75103;389;292
75104;634;440
75105;1203;393
75106;1032;349
75107;1010;382
75108;1481;170
75109;1172;421
75110;1583;669
75111;1972;1188
75112;2726;1316
75113;2320;685
75114;1783;311
75115;3342;1901
75116;2205;577
75117;2176;668
75118;1894;707
75119;1812;489
75120;1909;459
92004;180;132
92007;141;29
92009;84;44
92012;880;369
92014;55;7
92020;148;39
92022;62;32
92023;74;26
92024;400;196
92025;120;92
92026;193;72
92032;122;44
92035;128;33
92036;126;70
92040;495;250
92044;359;147
92046;238;71
92048;107;46
92049;283;57
92050;222;105
92051;378;97
92062;58;22
92063;195;77
92064;79;8
92071;90;31
92072;118;8
92073;264;31
92075;258;76
92077;24;3
93001;404;142
93006;208;40
93008;19;6
93045;233;25
93048;792;163
93053;58;28
93055;563;118
93061;42;12
93063;67;30
93064;124;61
93066;516;181
93070;269;144
94002;122;72
94003;120;31
94016;112;53
94017;121;74
94018;248;89
94022;79;31
94033;349;126
94037;119;67
94041;579;324
94042;124;65
94043;150;58
94046;180;100
94052;131;38
94067;119;48
94069;44;32
94076;254;54
94080;278;46
94081;482;219
95018;95;74
