arrond;capacity;avail. bike;ratio_pop;ratio_pop_log2;ratio_pop_log10;ratio_avail;ratio_avail_glob;ratio_avail_log2;ratio_avail_log10
75101;768;512;0.02909090909090909;0.04137043441986032;0.01245374169402757;0.6666666666666666;0.011389673659155117;0.736965594166206;0.22184874961635634
75102;660;414;0.018482142857142857;0.026420685618194186;0.007953418877084405;0.6272727272727273;0.009209618935332458;0.7024560637395969;0.21146034582166817
75103;389;276;0.00773109243697479;0.011110714865191532;0.0033446584476923384;0.7095115681233933;0.006139745956888306;0.77358418540236;0.23287204397739683
75104;634;374;0.01326241134751773;0.019007846916805;0.005721932074947427;0.5899053627760252;0.008319800680710965;0.6689408933605091;0.20137127422777376
75105;1203;728;0.01183739837398374;0.01697746848352806;0.005110727263981829;0.6051537822111388;0.016194692234111182;0.6827115217745738;0.20551664643954995
75106;1032;727;0.016867749419953598;0.02413205907477251;0.007264473638641707;0.7044573643410853;0.016172446777745646;0.769312512048707;0.23158614216626874
75107;1010;689;0.012003484320557492;0.017214257229194837;0.005182007779063178;0.6821782178217822;0.015327119435855227;0.7503305595450636;0.22587200508640307
75108;1481;979;0.024292803970223324;0.03462818257682754;0.010424121650953943;0.6610398379473329;0.021778301781861055;0.7320866749377546;0.22038004858217067
75109;1172;483;0.008009950248756219;0.011509880012119904;0.0034648191301413986;0.4121160409556314;0.010744555424554535;0.49785864727233226;0.14987038642966571
75110;1583;434;0.004525547445255474;0.006514255662933295;0.001960986353966875;0.27416298168035375;0.009654528062643206;0.34954982847578026;0.1052249833504095
75111;1972;664;0.004348395546823838;0.00625980847185338;0.0018843901171393756;0.3367139959432049;0.014770983026716793;0.4186908186301402;0.12603849531677982
75112;2726;1453;0.010167949615115465;0.014595174099281382;0.004393585195821725;0.533015407190022;0.03232264809912575;0.6163721965171995;0.18554651964497115
75113;2320;966;0.0053076923076923075;0.0076371314806267885;0.0022990056564983364;0.4163793103448276;0.02148911084910907;0.50220767493514;0.15117957420814326
75114;1783;148;0.0010787172011661808;0.0015554211776010573;0.0004682284303489108;0.08300616937745373;0.003292327542099526;0.11504146132565544;0.034630930604040114
75115;3342;1683;0.0071162790697674415;0.010230262840869012;0.0030796159786281863;0.5035906642728905;0.03743910306319934;0.5884118628924654;0.17712962053515394
75116;2205;836;0.0049350649350649355;0.007102282973590464;0.002138000212744305;0.3791383219954649;0.018597201521589217;0.46376716058591494;0.13960782634027485
75117;2176;576;0.00341839762611276;0.004923295198733171;0.0014820595323271459;0.2647058823529412;0.012813382866549507;0.3388019134517585;0.10198953853733138
75118;1894;299;0.0014905284147557329;0.002148776943254176;0.0006468463139106674;0.15786694825765576;0.0066513914532956644;0.2114694812052086;0.06365865701026828
75119;1812;245;0.0013257575757575758;0.0019113971351260263;0.0005753878712991337;0.13520971302428256;0.005450136809556648;0.18295883847869893;0.05507609835392978
75120;1909;111;0.0005631659056316591;0.0008122479655335299;0.00024451100154263607;0.05814562598218963;0.0024692456565746446;0.08153819023521933;0.02454544105295695
92004;180;82;0.0010049019607843138;0.0014490391261523137;0.0004362042418625701;0.45555555555555555;0.0018241274219740619;0.5415699052077755;0.16302878621643938
92007;141;19;0.0004935064935064935;0.0007118037453861769;0.0002142742783872064;0.1347517730496454;0.00042266367094520943;0.1823767424885689;0.05490087000054491
92009;84;31;0.0010992907801418439;0.0015850702899621167;0.0004771537025144014;0.36904761904761907;0.0006896091473316575;0.45317262816561493;0.13641855429173003
