arrond;capacity;avail. bike
75101;768;95
75102;660;109
75103;389;20
75104;634;-4
75105;1203;137
75106;1032;70
75107;1010;102
75108;1481;289
75109;1172;78
75110;1583;-55
75111;1972;-85
75112;2726;17
75113;2320;85
75114;1783;-20
75115;3342;-40
75116;2205;69
75117;2176;-9
75118;1894;-63
75119;1812;-14
75120;1909;-23
92004;180;-7
92007;141;-1
92009;84;-3
92012;880;16
92014;55;3
92020;148;2
92022;62;0
92023;74;3
92024;400;5
92025;120;-3
92026;193;-10
92032;122;-1
92035;128;-3
92036;126;6
92040;495;8
92044;359;28
92046;238;5
92048;107;-4
92049;283;-12
92050;222;8
92051;378;34
92062;58;4
92063;195;1
92064;79;-1
92071;90;-2
92072;118;-2
92073;264;5
92075;258;2
92077;24;-1
93001;404;11
93006;208;-2
93008;19;2
93045;233;-6
93048;792;3
93053;58;0
93055;563;-12
93061;42;1
93063;67;-3
93064;124;1
93066;516;21
93070;269;-4
94002;122;-2
94003;120;2
94016;112;-1
94017;121;2
94018;248;-1
94022;79;0
94033;349;-15
94037;119;4
94041;579;-12
94042;124;6
94043;150;-7
94046;180;-5
94052;131;0
94067;119;2
94069;44;3
94076;254;-1
94080;278;3
94081;482;19
95018;95;0
