arrond;capacity;avail. bike
75101;768;-12
75102;660;12
75103;389;16
75104;634;30
75105;1203;28
75106;1032;13
75107;1010;-5
75108;1481;3
75109;1172;15
75110;1583;-15
75111;1972;7
75112;2726;-4
75113;2320;49
75114;1783;21
75115;3342;-1
75116;2205;-9
75117;2176;20
75118;1894;-4
75119;1812;-25
75120;1909;-7
92004;180;3
92007;141;-3
92009;84;-2
92012;880;13
92014;55;-1
92020;148;1
92022;62;0
92023;74;-1
92024;400;4
92025;120;2
92026;193;-1
92032;122;0
92035;128;0
92036;126;0
92040;495;2
92044;359;-2
92046;238;-1
92048;107;1
92049;283;-2
92050;222;0
92051;378;12
92062;58;0
92063;195;3
92064;79;-3
92071;90;2
92072;118;0
92073;264;-1
92075;258;9
92077;24;1
93001;404;1
93006;208;6
93008;19;0
93045;233;-2
93048;792;-5
93053;58;0
93055;563;-4
93061;42;0
93063;67;0
93064;124;1
93066;516;4
93070;269;-10
94002;122;0
94003;120;0
94016;112;0
94017;121;1
94018;248;-4
94022;79;0
94033;349;1
94037;119;0
94041;579;4
94042;124;-1
94043;150;1
94046;180;4
94052;131;2
94067;119;4
94069;44;1
94076;254;2
94080;278;-2
94081;482;7
95018;95;0
