arrond;capacity;avail. bike
75101;768;8
75102;660;-3
75103;389;10
75104;634;-12
75105;1203;2
75106;1032;-3
75107;1010;-3
75108;1481;5
75109;1172;-7
75110;1583;7
75111;1972;12
75112;2726;-13
75113;2320;-25
75114;1783;0
75115;3342;-52
75116;2205;18
75117;2176;-19
75118;1894;21
75119;1812;2
75120;1909;3
92004;180;0
92007;141;-1
92009;84;-1
92012;880;-18
92014;55;-2
92020;148;2
92022;62;0
92023;74;-1
92024;400;3
92025;120;1
92026;193;2
92032;122;0
92035;128;-2
92036;126;0
92040;495;-2
92044;359;2
92046;238;3
92048;107;0
92049;283;-3
92050;222;0
92051;378;2
92062;58;0
92063;195;1
92064;79;0
92071;90;1
92072;118;0
92073;264;-1
92075;258;4
92077;24;0
93001;404;-3
93006;208;1
93008;19;0
93045;233;1
93048;792;-1
93053;58;0
93055;563;6
93061;42;-1
93063;67;-1
93064;124;0
93066;516;7
93070;269;-2
94002;122;0
94003;120;3
94016;112;0
94017;121;0
94018;248;2
94022;79;0
94033;349;-2
94037;119;-4
94041;579;-14
94042;124;1
94043;150;-1
94046;180;-2
94052;131;-3
94067;119;0
94069;44;-2
94076;254;-1
94080;278;2
94081;482;-4
95018;95;0
