arrond;capacity;avail. bike
75101;768;619
75102;660;514
75103;389;261
75104;634;465
75105;1203;567
75106;1032;538
75107;1010;681
75108;1481;871
75109;1172;560
75110;1583;342
75111;1972;588
75112;2726;1181
75113;2320;775
75114;1783;191
75115;3342;1432
75116;2205;579
75117;2176;404
75118;1894;266
75119;1812;226
75120;1909;132
92004;180;76
92007;141;16
92009;84;38
92012;880;341
92014;55;15
92020;148;51
92022;62;25
92023;74;18
92024;400;163
92025;120;79
92026;193;56
92032;122;35
92035;128;27
92036;126;71
92040;495;306
92044;359;233
92046;238;50
92048;107;33
92049;283;56
92050;222;120
92051;378;155
92062;58;33
92063;195;79
92064;79;24
92071;90;22
92072;118;10
92073;264;36
92075;258;43
92077;24;2
93001;404;149
93006;208;15
93008;19;9
93045;233;7
93048;792;87
93053;58;23
93055;563;79
93061;42;6
93063;67;18
93064;124;57
93066;516;270
93070;269;145
94002;122;53
94003;120;30
94016;112;45
94017;121;73
94018;248;65
94022;79;33
94033;349;52
94037;119;42
94041;579;217
94042;124;76
94043;150;21
94046;180;87
94052;131;25
94067;119;16
94069;44;11
94076;254;20
94080;278;54
94081;482;161
95018;95;72
