arrond;capacity;avail. bike
75101;768;3
75102;660;-3
75103;389;-4
75104;634;-3
75105;1203;-3
75106;1032;-21
75107;1010;1
75108;1481;-1
75109;1172;-9
75110;1583;3
75111;1972;-9
75112;2726;-4
75113;2320;56
75114;1783;7
75115;3342;10
75116;2205;8
75117;2176;15
75118;1894;20
75119;1812;19
75120;1909;15
92004;180;2
92007;141;2
92009;84;0
92012;880;-2
92014;55;0
92020;148;0
92022;62;0
92023;74;-1
92024;400;5
92025;120;1
92026;193;0
92032;122;-1
92035;128;0
92036;126;1
92040;495;4
92044;359;0
92046;238;1
92048;107;1
92049;283;4
92050;222;-1
92051;378;0
92062;58;0
92063;195;1
92064;79;0
92071;90;0
92072;118;-1
92073;264;0
92075;258;0
92077;24;0
93001;404;5
93006;208;3
93008;19;0
93045;233;0
93048;792;7
93053;58;0
93055;563;1
93061;42;0
93063;67;1
93064;124;0
93066;516;3
93070;269;2
94002;122;-1
94003;120;1
94016;112;0
94017;121;0
94018;248;0
94022;79;1
94033;349;1
94037;119;0
94041;579;-12
94042;124;0
94043;150;0
94046;180;1
94052;131;-1
94067;119;2
94069;44;0
94076;254;1
94080;278;2
94081;482;-6
95018;95;0
