arrond;capacity;avail. bike;ratio_pop;ratio_pop_log2;ratio_pop_log10;ratio_avail;ratio_avail_glob;ratio_avail_log2;ratio_avail_log10
75101;768;477;0.02710227272727273;0.03857984378874428;0.011613690208442762;0.62109375;0.01061108268636131;0.6969675262342871;0.20980813140024313
75102;660;369;0.016473214285714285;0.02357219833431959;0.00709593876237073;0.5590909090909091;0.008208573398883277;0.6407050526481527;0.19287143922056427
75103;389;321;0.008991596638655463;0.012914159044643478;0.00388754924121299;0.8251928020565553;0.007140791493337486;0.8680488694058525;0.26130874739336757
75104;634;425;0.015070921985815602;0.021580530585512743;0.006496387028583315;0.6703470031545742;0.009454318955353369;0.7401478438529293;0.22280670222575236
75105;1203;570;0.009268292682926829;0.01330973546720114;0.004006629609980296;0.47381546134663344;0.012679910128356283;0.5595558937226122;0.16844310826107306
75106;1032;524;0.012157772621809745;0.017434191255450593;0.005248214518033311;0.5077519379844961;0.011656619135541566;0.5923990895629379;0.17832989536247756
75107;1010;452;0.007874564459930313;0.011316098666993612;0.00340648513265827;0.44752475247524753;0.010054946277222877;0.5335880183132802;0.16062599883919906
75108;1481;439;0.010893300248138957;0.01563072886653033;0.004705318242916492;0.29642133693450373;0.009765755344470892;0.37453467031967075;0.11274617018234111
75109;1172;473;0.007844112769485904;0.01127250875210084;0.0033933632607671058;0.4035836177474403;0.01052210086089916;0.489115014200356;0.14723829060392127
75110;1583;558;0.0058185610010427526;0.008370081731842926;0.0025196456674438446;0.35249526216045485;0.012412964651969834;0.43562354024832844;0.13113575243208245
75111;1972;1087;0.007118533071381794;0.010233491696741967;0.0030805879610976217;0.5512170385395537;0.024180811069339087;0.6334005551802908;0.1906725663794862
75112;2726;1562;0.01093072078376487;0.015684132546197018;0.004721394352374994;0.5730007336757154;0.03474740284296932;0.6535193436525628;0.1967289251860588
75113;2320;823;0.004521978021978022;0.00650912926428333;0.001959443154203504;0.35474137931034483;0.01830801058883723;0.43801746678381664;0.13185639612668035
75114;1783;270;0.0019679300291545188;0.002836332955946985;0.000853821297430328;0.1514301738642737;0.0060062732186950815;0.20342692448360697;0.061237606195237236
75115;3342;1773;0.0074968287526427065;0.010775297661395226;0.0032436878082879117;0.5305206463195691;0.0394411941360977;0.614022506571503;0.1848391924908064
75116;2205;706;0.004167650531286895;0.006000154147663619;0.0018062263770543979;0.3201814058956916;0.01570529219406936;0.4007361836778828;0.12063361163495342
75117;2176;559;0.003317507418397626;0.004778229969071531;0.0014383905468711078;0.2568933823529412;0.012435210108335372;0.32986227642957944;0.09929843964330727
75118;1894;484;0.0024127617148554338;0.003476686836994029;0.001046587023465333;0.2555438225976769;0.010766800880920071;0.3283123842772709;0.09883187561541817
75119;1812;362;0.001958874458874459;0.0028232941300713856;0.0008498962197335326;0.1997792494481236;0.008052855204324517;0.2627689849810741;0.07910134640948148
75120;1909;307;0.0015575849822425166;0.0022453719044647894;0.0006759242946650607;0.1608171817705605;0.006829355104219963;0.2151407786452508;0.0647638276627254
92004;180;104;0.0012745098039215687;0.0018375582292746557;0.0005531601457908625;0.5777777777777777;0.002313527462015883;0.6578940231750073;0.19804583494373157
92007;141;24;0.0006233766233766234;0.0008990621650885217;0.0002706446796582472;0.1702127659574468;0.0005338909527728961;0.22677086184702225;0.06826483155852639
92009;84;34;0.0012056737588652482;0.0017383718086634989;0.0005233020580243602;0.40476190476190477;0.0007563455164282696;0.4903256265830809;0.1476027212442437
92012;880;385;0.0034040671971706455;0.0049026910455194014;0.0014758570641745447;0.4375;0.008564500700731876;0.5235619560570128;0.1576078533616681
92014;55;14;0.0007070707070707071;0.0010197269355952776;0.0003069683950006912;0.2545454545454545;0.00031143638911752277;0.3271647432535093;0.09848640124301143
92020;148;38;0.0011728395061728395;0.0016910582630763641;0.0005090592616014175;0.25675675675675674;0.0008453273418904189;0.32970544547908165;0.09925122882295893
92022;62;31;0.0016666666666666668;0.0024024902153046137;0.000723221619095905;0.5;0.0006896091473316575;0.5849625007211562;0.17609125905568124
92023;74;13;0.00024714828897338405;0.0003565155565757691;0.00010732187645014561;0.17567567567567569;0.0002891909327519854;0.2334901302197785;0.07028753288764233
92024;400;213;0.0036597938144329895;0.005270328101530227;0.0015865268455514025;0.5325;0.0047382822058594535;0.6158870739160568;0.18540048319045263
92025;120;98;0.0011583924349881796;0.0016702398114424965;0.0005027922831963435;0.8166666666666667;0.002180054723822659;0.8612937291684079;0.25927524755698
92026;193;59;0.0006789413118527042;0.0009791729007981947;0.00029476041408156844;0.30569948186528495;0.001312481925566703;0.384822886231836;0.11584323177377032
92032;122;39;0.0016455696202531645;0.0023721039343363773;0.0007140744370677924;0.319672131147541;0.0008675727982559562;0.4001795405517307;0.12046604535710148
92035;128;33;0.0012177121771217712;0.001755718556050648;0.0005285239493150979;0.2578125;0.0007341000600627321;0.33091687811461695;0.09961590638398134
92036;126;78;0.0018840579710144927;0.002715563754286102;0.0008174661451780098;0.6190476190476191;0.0017351455965119124;0.6951454184715792;0.20925962230833584
92040;495;299;0.004671875;0.00672439532924027;0.002024244696804094;0.604040404040404;0.0066513914532956644;0.681710482175986;0.20521530349352757
