id;station;working;capacity;avail. station;avail. bike;mech. bike;elec. bike;atm;bike return;data actualization;geo;commune;arrond
15018;Dutot - Place Alleray;True;56;49;7;1;6;True;True;2022-03-10T15:54:53+01:00;48.83682609176588,2.307170109557766;Paris;75115
13035;Choisy - Tolbiac;True;26;19;5;3;2;True;True;2022-03-10T15:56:58+01:00;48.82591155587,2.3602393269539;Paris;75113
33103;Jean Jaurès - Jules Jacquemin;True;24;18;5;1;4;True;True;2022-03-10T15:50:48+01:00;48.88433053604843,2.4082902455152104;Le Pré-Saint-Gervais;93061
20044;Davout - Volga;True;28;28;0;0;0;True;True;2022-03-10T15:54:16+01:00;48.852919679957296,2.410522909779111;Paris;75120
14032;Mairie du 14ème;True;32;32;0;0;0;True;True;2022-03-10T15:51:38+01:00;48.83254578122993,2.325492314994335;Paris;75114
41203;Stalingrad - Rigollots;True;20;19;1;0;1;True;True;2022-03-10T15:55:25+01:00;48.84997403844251,2.45557576417923;Fontenay-sous-Bois;94033
17009;Paul Bodin - Clichy;True;34;28;5;3;2;True;True;2022-03-10T15:57:02+01:00;48.89239614618928,2.317142598330975;Paris;75117
15001;Gare Montparnasse - Arrivée;True;43;21;22;12;10;True;True;2022-03-10T15:56:03+01:00;48.843827994314886,2.3225811123847966;Paris;75115
5007;Ecoles - Carmes;True;36;3;33;19;14;True;True;2022-03-10T15:57:43+01:00;48.848904447989405,2.3473486304283147;Paris;75105
14026;Plantes - Moulin Vert;True;45;43;2;1;1;True;True;2022-03-10T15:53:18+01:00;48.83005755305626,2.3232302069664006;Paris;75114
16105;Crevaux - Bugeaud;True;31;29;2;1;1;True;True;2022-03-10T15:49:23+01:00;48.870809428669546,2.281149007691853;Paris;75116
16012;Flandrin - Longchamp;True;42;23;16;5;11;True;True;2022-03-10T15:58:17+01:00;48.86877849178477,2.274354539176829;Paris;75116
16036;Porte Molitor;True;60;47;10;6;4;True;True;2022-03-10T15:58:28+01:00;48.84524763511433,2.2569015249609947;Paris;75116
8117;Place de la Madeleine - Royale;True;26;1;25;10;15;True;True;2022-03-10T15:57:08+01:00;48.86922805264812,2.3244211077690125;Paris;75108
12015;Place de la Nation - Picpus;True;36;30;5;4;1;True;True;2022-03-10T15:49:39+01:00;48.84682168154762,2.400113046169281;Paris;75112
26004;Gare RER les Grésillons;True;22;5;15;7;8;True;True;2022-03-10T15:56:43+01:00;48.919898633572764,2.31458459136273;Asnières-sur-Seine;92036
1006;Grande Truanderie - Saint-Denis;True;33;7;27;13;14;True;True;2022-03-10T15:56:17+01:00;48.8626302,2.3498075;Paris;75101
11112;Jules Vallès - Charonne;True;23;17;6;2;4;True;True;2022-03-10T15:57:09+01:00;48.85428437993525,2.384767457842827;Paris;75111
6010;Chevreuse - Montparnasse;True;15;4;10;0;10;True;True;2022-03-10T15:56:34+01:00;48.841739161230905,2.331552216736739;Paris;75106
