arrond;capacity;avail. bike
75101;768;152
75102;660;137
75103;389;212
75104;634;340
75105;1203;371
75106;1032;339
75107;1010;429
75108;1481;251
75109;1172;252
75110;1583;550
75111;1972;1021
75112;2726;1485
75113;2320;836
75114;1783;298
75115;3342;1911
75116;2205;656
75117;2176;647
75118;1894;680
75119;1812;418
75120;1909;339
92004;180;120
92007;141;23
92009;84;41
92012;880;379
92014;55;10
92020;148;42
92022;62;30
92023;74;22
92024;400;245
92025;120;92
92026;193;59
92032;122;45
92035;128;33
92036;126;89
92040;495;277
92044;359;151
92046;238;62
92048;107;46
92049;283;100
92050;222;105
92051;378;116
92062;58;22
92063;195;73
92064;79;19
92071;90;28
92072;118;8
92073;264;29
92075;258;58
92077;24;3
93001;404;169
93006;208;37
93008;19;11
93045;233;18
93048;792;151
93053;58;31
93055;563;146
93061;42;7
93063;67;26
93064;124;61
93066;516;248
93070;269;163
94002;122;57
94003;120;28
94016;112;66
94017;121;72
94018;248;97
94022;79;31
94033;349;92
94037;119;63
94041;579;271
94042;124;65
94043;150;62
94046;180;99
94052;131;54
94067;119;31
94069;44;32
94076;254;38
94080;278;111
94081;482;197
95018;95;74
