arrond;capacity;avail. bike
75101;768;17
75102;660;-4
75103;389;-4
75104;634;-20
75105;1203;-13
75106;1032;24
75107;1010;6
75108;1481;6
75109;1172;11
75110;1583;-32
75111;1972;0
75112;2726;-9
75113;2320;-19
75114;1783;-1
75115;3342;11
75116;2205;0
75117;2176;-5
75118;1894;-3
75119;1812;-11
75120;1909;-8
92004;180;-2
92007;141;0
92009;84;0
92012;880;-12
92014;55;1
92020;148;2
92022;62;0
92023;74;-1
92024;400;-11
92025;120;0
92026;193;3
92032;122;0
92035;128;2
92036;126;-2
92040;495;-4
92044;359;4
92046;238;2
92048;107;-2
92049;283;-1
92050;222;1
92051;378;-1
92062;58;1
92063;195;2
92064;79;1
92071;90;0
92072;118;0
92073;264;0
92075;258;-12
92077;24;0
93001;404;-8
93006;208;-1
93008;19;0
93045;233;3
93048;792;-4
93053;58;-1
93055;563;-6
93061;42;-2
93063;67;-1
93064;124;-2
93066;516;-7
93070;269;5
94002;122;-2
94003;120;-3
94016;112;1
94017;121;0
94018;248;-4
94022;79;-2
94033;349;6
94037;119;2
94041;579;3
94042;124;0
94043;150;-4
94046;180;2
94052;131;-4
94067;119;-2
94069;44;-2
94076;254;0
94080;278;-5
94081;482;-5
95018;95;0
