Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
;;OUI;;17;3;;;OUI;OUI;2022-03-11T02:55:14+01:00;;;
;;OUI;;32;3;;;OUI;OUI;2022-03-11T02:53:44+01:00;;;
;;OUI;;19;2;;;OUI;OUI;2022-03-11T02:52:42+01:00;;;
;;OUI;;1;29;;;OUI;OUI;2022-03-11T02:59:05+01:00;;;
;;OUI;;33;12;;;OUI;OUI;2022-03-11T02:59:03+01:00;;;
;;OUI;;41;19;;;OUI;OUI;2022-03-11T02:57:50+01:00;;;
;;OUI;;19;41;;;OUI;OUI;2022-03-11T02:58:57+01:00;;;
;;OUI;;14;7;;;OUI;OUI;2022-03-11T02:56:25+01:00;;;
;;OUI;;7;5;;;OUI;OUI;2022-03-11T02:50:14+01:00;;;
;;OUI;;15;16;;;OUI;OUI;2022-03-11T02:59:43+01:00;;;
;;OUI;;22;3;;;OUI;OUI;2022-03-11T02:55:52+01:00;;;
;;OUI;;12;15;;;OUI;OUI;2022-03-11T02:57:58+01:00;;;
;;OUI;;31;17;;;OUI;OUI;2022-03-11T02:58:56+01:00;;;
;;OUI;;45;5;;;OUI;OUI;2022-03-11T02:59:32+01:00;;;
;;OUI;;20;3;;;OUI;OUI;2022-03-11T02:58:05+01:00;;;
;;OUI;;14;8;;;OUI;OUI;2022-03-11T02:59:55+01:00;;;
;;OUI;;6;11;;;OUI;OUI;2022-03-11T02:57:51+01:00;;;
;;OUI;;29;11;;;OUI;OUI;2022-03-11T02:59:24+01:00;;;
;;OUI;;14;11;;;OUI;OUI;2022-03-11T02:52:53+01:00;;;
;;OUI;;57;5;;;OUI;OUI;2022-03-11T02:59:07+01:00;;;
;;OUI;;18;2;;;OUI;OUI;2022-03-11T02:52:27+01:00;;;
;;OUI;;5;30;;;OUI;OUI;2022-03-11T02:59:00+01:00;;;
;;OUI;;10;26;;;OUI;OUI;2022-03-11T02:57:12+01:00;;;
;;OUI;;29;1;;;OUI;OUI;2022-03-11T02:55:20+01:00;;;
;;OUI;;56;4;;;OUI;OUI;2022-03-11T02:57:16+01:00;;;
;;OUI;;30;5;;;OUI;OUI;2022-03-11T02:58:52+01:00;;;
;;OUI;;17;12;;;OUI;OUI;2022-03-11T02:58:48+01:00;;;
;;OUI;;22;12;;;OUI;OUI;2022-03-11T02:58:05+01:00;;;
;;OUI;;15;2;;;OUI;OUI;2022-03-11T02:58:35+01:00;;;
;;OUI;;15;23;;;OUI;OUI;2022-03-11T02:59:57+01:00;;;
;;OUI;;4;39;;;OUI;OUI;2022-03-11T02:55:10+01:00;;;
;;OUI;;22;20;;;OUI;OUI;2022-03-11T02:59:34+01:00;;;
;;OUI;;33;19;;;OUI;OUI;2022-03-11T02:59:34+01:00;;;
;;OUI;;41;2;;;OUI;OUI;2022-03-11T02:54:23+01:00;;;
;;OUI;;43;1;;;OUI;OUI;2022-03-11T02:54:14+01:00;;;
;;OUI;;25;1;;;NON;NON;2022-03-11T02:53:46+01:00;;;
;;OUI;;18;3;;;OUI;OUI;2022-03-11T02:59:08+01:00;;;
;;OUI;;20;10;;;OUI;OUI;2022-03-11T02:59:27+01:00;;;
;;OUI;;9;24;;;OUI;OUI;2022-03-11T02:58:12+01:00;;;
;;OUI;;15;1;;;OUI;OUI;2022-03-11T02:55:26+01:00;;;
;;OUI;;11;9;;;OUI;OUI;2022-03-11T02:59:48+01:00;;;
;;OUI;;16;6;;;OUI;OUI;2022-03-11T02:58:59+01:00;;;
;;OUI;;28;5;;;OUI;OUI;2022-03-11T02:50:57+01:00;;;
;;OUI;;7;17;;;OUI;OUI;2022-03-11T02:57:21+01:00;;;
;;OUI;;16;10;;;OUI;OUI;2022-03-11T02:53:56+01:00;;;
;;OUI;;25;1;;;OUI;OUI;2022-03-11T02:58:30+01:00;;;
;;OUI;;11;14;;;OUI;OUI;2022-03-11T02:56:49+01:00;;;
;;OUI;;13;5;;;OUI;OUI;2022-03-11T02:55:10+01:00;;;
;;OUI;;18;0;;;OUI;OUI;2022-03-11T02:57:01+01:00;;;
;;OUI;;8;22;;;OUI;OUI;2022-03-11T02:59:26+01:00;;;
;;OUI;;8;13;;;OUI;OUI;2022-03-11T02:59:01+01:00;;;
;;OUI;;10;11;;;OUI;OUI;2022-03-11T02:51:47+01:00;;;
;;OUI;;22;6;;;OUI;OUI;2022-03-11T02:58:34+01:00;;;
;;OUI;;10;15;;;OUI;OUI;2022-03-11T02:59:42+01:00;;;
;;OUI;;2;38;;;OUI;OUI;2022-03-11T02:58:31+01:00;;;
;;OUI;;17;4;;;OUI;OUI;2022-03-11T02:54:55+01:00;;;
;;OUI;;9;8;;;OUI;OUI;2022-03-11T02:57:50+01:00;;;
;;OUI;;45;1;;;OUI;OUI;2022-03-11T02:59:47+01:00;;;
;;OUI;;21;2;;;OUI;OUI;2022-03-11T02:50:50+01:00;;;
;;OUI;;32;3;;;OUI;OUI;2022-03-11T02:59:22+01:00;;;
;;OUI;;2;12;;;OUI;OUI;2022-03-11T02:56:17+01:00;;;
;;OUI;;28;1;;;OUI;OUI;2022-03-11T02:50:22+01:00;;;
;;OUI;;12;10;;;OUI;OUI;2022-03-11T02:59:39+01:00;;;
;;OUI;;1;16;;;OUI;OUI;2022-03-11T02:59:00+01:00;;;
;;OUI;;13;9;;;OUI;OUI;2022-03-11T02:56:25+01:00;;;
;;OUI;;25;4;;;OUI;OUI;2022-03-11T02:58:42+01:00;;;
;;OUI;;15;10;;;OUI;OUI;2022-03-11T02:59:02+01:00;;;
;;OUI;;1;26;;;OUI;OUI;2022-03-11T02:59:22+01:00;;;
;;OUI;;8;42;;;OUI;OUI;2022-03-11T02:59:47+01:00;;;
;;OUI;;21;3;;;OUI;OUI;2022-03-11T02:58:40+01:00;;;
;;OUI;;18;3;;;OUI;OUI;2022-03-11T02:59:54+01:00;;;
;;OUI;;18;6;;;OUI;OUI;2022-03-11T02:57:34+01:00;;;
;;OUI;;14;10;;;OUI;OUI;2022-03-11T02:56:20+01:00;;;
;;OUI;;3;29;;;OUI;OUI;2022-03-11T02:58:07+01:00;;;
;;OUI;;39;24;;;OUI;OUI;2022-03-11T02:59:41+01:00;;;
;;OUI;;11;25;;;OUI;OUI;2022-03-11T02:55:55+01:00;;;
;;OUI;;14;18;;;OUI;OUI;2022-03-11T02:58:23+01:00;;;
;;OUI;;19;1;;;OUI;OUI;2022-03-11T02:55:11+01:00;;;
;;OUI;;13;6;;;OUI;OUI;2022-03-11T02:59:43+01:00;;;
;;OUI;;45;3;;;OUI;OUI;2022-03-11T02:59:29+01:00;;;
;;OUI;;5;9;;;OUI;OUI;2022-03-11T02:52:39+01:00;;;
;;OUI;;14;3;;;OUI;OUI;2022-03-11T02:58:15+01:00;;;
;;OUI;;13;1;;;OUI;OUI;2022-03-11T02:59:10+01:00;;;
;;OUI;;13;23;;;OUI;OUI;2022-03-11T02:58:38+01:00;;;
;;OUI;;26;1;;;OUI;OUI;2022-03-11T02:59:13+01:00;;;
;;OUI;;17;0;;;OUI;OUI;2022-03-11T02:58:41+01:00;;;
;;OUI;;24;3;;;OUI;OUI;2022-03-11T02:50:59+01:00;;;
;;OUI;;0;23;;;OUI;OUI;2022-03-11T02:51:04+01:00;;;
;;OUI;;13;4;;;OUI;OUI;2022-03-11T02:58:25+01:00;;;
;;OUI;;22;2;;;OUI;OUI;2022-03-11T02:56:01+01:00;;;
;;OUI;;10;23;;;OUI;OUI;2022-03-11T02:56:36+01:00;;;
;;OUI;;36;4;;;OUI;OUI;2022-03-11T02:58:22+01:00;;;
;;OUI;;19;7;;;OUI;OUI;2022-03-11T02:58:39+01:00;;;
;;OUI;;20;4;;;OUI;OUI;2022-03-11T02:56:04+01:00;;;
;;OUI;;2;14;;;OUI;OUI;2022-03-11T02:50:22+01:00;;;
;;OUI;;29;5;;;OUI;OUI;2022-03-11T02:55:30+01:00;;;
;;OUI;;0;15;;;OUI;OUI;2022-03-11T02:59:57+01:00;;;
;;OUI;;18;4;;;OUI;OUI;2022-03-11T02:58:25+01:00;;;
;;OUI;;0;24;;;OUI;OUI;2022-03-11T02:59:48+01:00;;;
;;OUI;;9;14;;;OUI;OUI;2022-03-11T02:55:12+01:00;;;
;;OUI;;18;6;;;OUI;OUI;2022-03-11T02:56:01+01:00;;;
;;OUI;;13;4;;;OUI;OUI;2022-03-11T02:50:50+01:00;;;
;;OUI;;0;16;;;OUI;OUI;2022-03-11T02:59:11+01:00;;;
;;OUI;;48;1;;;OUI;OUI;2022-03-11T02:52:27+01:00;;;
;;OUI;;11;29;;;OUI;OUI;2022-03-11T02:57:52+01:00;;;
;;OUI;;34;6;;;OUI;OUI;2022-03-11T02:56:50+01:00;;;
;;OUI;;33;0;;;OUI;OUI;2022-03-11T02:54:41+01:00;;;
;;OUI;;3;35;;;OUI;OUI;2022-03-11T02:59:08+01:00;;;
;;OUI;;0;0;;;OUI;OUI;2022-03-11T02:59:26+01:00;;;
;;OUI;;35;4;;;OUI;OUI;2022-03-11T02:59:04+01:00;;;
;;OUI;;37;23;;;OUI;OUI;2022-03-11T02:59:30+01:00;;;
;;OUI;;10;13;;;OUI;OUI;2022-03-11T02:58:28+01:00;;;
;;OUI;;32;1;;;OUI;OUI;2022-03-11T02:51:12+01:00;;;
;;OUI;;25;24;;;OUI;OUI;2022-03-11T02:55:30+01:00;;;
;;OUI;;15;2;;;OUI;OUI;2022-03-11T02:55:49+01:00;;;
;;OUI;;15;8;;;OUI;OUI;2022-03-11T02:59:33+01:00;;;
;;OUI;;11;35;;;OUI;OUI;2022-03-11T02:57:43+01:00;;;
;;OUI;;38;1;;;OUI;OUI;2022-03-11T02:50:51+01:00;;;
;;OUI;;29;7;;;OUI;OUI;2022-03-11T02:51:05+01:00;;;
;;OUI;;43;15;;;OUI;OUI;2022-03-11T02:58:31+01:00;;;
;;OUI;;14;12;;;OUI;OUI;2022-03-11T02:59:57+01:00;;;
;;OUI;;1;11;;;OUI;OUI;2022-03-11T02:53:11+01:00;;;
;;OUI;;12;18;;;OUI;OUI;2022-03-11T02:55:38+01:00;;;
;;OUI;;6;21;;;OUI;OUI;2022-03-11T02:56:23+01:00;;;
;;OUI;;16;1;;;OUI;OUI;2022-03-11T02:59:19+01:00;;;
;;OUI;;32;3;;;OUI;OUI;2022-03-11T02:53:28+01:00;;;
;;OUI;;18;6;;;OUI;OUI;2022-03-11T02:58:41+01:00;;;
;;OUI;;50;3;;;OUI;OUI;2022-03-11T02:58:31+01:00;;;
;;OUI;;37;6;;;OUI;OUI;2022-03-11T02:58:57+01:00;;;
;;OUI;;0;32;;;OUI;OUI;2022-03-11T02:58:02+01:00;;;
;;OUI;;33;25;;;OUI;OUI;2022-03-11T02:59:46+01:00;;;
;;OUI;;18;1;;;OUI;OUI;2022-03-11T02:51:37+01:00;;;
;;OUI;;34;15;;;OUI;OUI;2022-03-11T02:58:27+01:00;;;
;;OUI;;20;14;;;OUI;OUI;2022-03-11T02:59:51+01:00;;;
;;OUI;;9;16;;;OUI;OUI;2022-03-11T02:58:20+01:00;;;
