arrond;capacity;avail. bike
75101;768;13
75102;660;38
75103;389;35
75104;634;12
75105;1203;34
75106;1032;28
75107;1010;-2
75108;1481;-21
75109;1172;17
75110;1583;11
75111;1972;104
75112;2726;-12
75113;2320;3
75114;1783;-3
75115;3342;34
75116;2205;-16
75117;2176;33
75118;1894;29
75119;1812;9
75120;1909;18
92004;180;0
92007;141;4
92009;84;0
92012;880;5
92014;55;-1
92020;148;-4
92022;62;-1
92023;74;3
92024;400;2
92025;120;-1
92026;193;-4
92032;122;0
92035;128;2
92036;126;-6
92040;495;-3
92044;359;2
92046;238;5
92048;107;2
92049;283;1
92050;222;3
92051;378;-4
92062;58;-2
92063;195;2
92064;79;-1
92071;90;-1
92072;118;3
92073;264;5
92075;258;-2
92077;24;0
93001;404;0
93006;208;2
93008;19;0
93045;233;2
93048;792;14
93053;58;0
93055;563;-4
93061;42;0
93063;67;-3
93064;124;0
93066;516;2
93070;269;0
94002;122;0
94003;120;4
94016;112;2
94017;121;0
94018;248;-5
94022;79;-2
94033;349;3
94037;119;4
94041;579;4
94042;124;2
94043;150;0
94046;180;-1
94052;131;0
94067;119;-6
94069;44;-1
94076;254;8
94080;278;3
94081;482;0
95018;95;0
