arrond;capacity;avail. bike
75101;768;26
75102;660;7
75103;389;2
75104;634;30
75105;1203;45
75106;1032;79
75107;1010;29
75108;1481;48
75109;1172;32
75110;1583;46
75111;1972;-4
75112;2726;15
75113;2320;35
75114;1783;-22
75115;3342;-16
75116;2205;9
75117;2176;10
75118;1894;-20
75119;1812;13
75120;1909;-4
92004;180;1
92007;141;-2
92009;84;-3
92012;880;2
92014;55;0
92020;148;-2
92022;62;0
92023;74;0
92024;400;-6
92025;120;0
92026;193;1
92032;122;0
92035;128;-1
92036;126;0
92040;495;5
92044;359;6
92046;238;1
92048;107;-3
92049;283;-5
92050;222;0
92051;378;-2
92062;58;3
92063;195;0
92064;79;-2
92071;90;-1
92072;118;1
92073;264;-3
92075;258;-1
92077;24;0
93001;404;-6
93006;208;3
93008;19;-1
93045;233;-2
93048;792;-5
93053;58;1
93055;563;-2
93061;42;-2
93063;67;0
93064;124;0
93066;516;7
93070;269;-4
94002;122;15
94003;120;2
94016;112;1
94017;121;0
94018;248;-2
94022;79;0
94033;349;-2
94037;119;-1
94041;579;-4
94042;124;1
94043;150;-3
94046;180;-4
94052;131;-1
94067;119;0
94069;44;-2
94076;254;4
94080;278;9
94081;482;-6
95018;95;-1
