arrond;capacity;avail. bike
75101;768;14
75102;660;2
75103;389;0
75104;634;15
75105;1203;17
75106;1032;-13
75107;1010;-19
75108;1481;1
75109;1172;1
75110;1583;6
75111;1972;3
75112;2726;9
75113;2320;12
75114;1783;16
75115;3342;33
75116;2205;-6
75117;2176;21
75118;1894;22
75119;1812;-30
75120;1909;5
92004;180;-1
92007;141;-2
92009;84;-3
92012;880;-4
92014;55;1
92020;148;2
92022;62;1
92023;74;1
92024;400;-3
92025;120;-1
92026;193;-3
92032;122;0
92035;128;0
92036;126;0
92040;495;5
92044;359;4
92046;238;-5
92048;107;-3
92049;283;-5
92050;222;3
92051;378;2
92062;58;1
92063;195;-3
92064;79;-3
92071;90;-2
92072;118;0
92073;264;1
92075;258;-4
92077;24;0
93001;404;-14
93006;208;0
93008;19;-2
93045;233;-1
93048;792;8
93053;58;0
93055;563;3
93061;42;1
93063;67;1
93064;124;-1
93066;516;4
93070;269;1
94002;122;2
94003;120;3
94016;112;1
94017;121;0
94018;248;3
94022;79;0
94033;349;-1
94037;119;-1
94041;579;-4
94042;124;0
94043;150;6
94046;180;2
94052;131;0
94067;119;-1
94069;44;-1
94076;254;-1
94080;278;1
94081;482;1
95018;95;0
