id;station;working;capacity;avail. station;avail. bike;mech. bike;elec. bike;atm;bike return;data actualization;geo;commune;arrond
16107;Benjamin Godard - Victor Hugo;True;35;31;4;1;3;True;True;2022-03-11T05:54:11+01:00;48.865983,2.275725;Paris;75116
11104;Charonne - Robert et Sonia Delauney;True;20;14;6;4;2;True;True;2022-03-11T05:55:52+01:00;48.85590755596891,2.3925706744194035;Paris;75111
9020;Toudouze - Clauzel;True;21;20;1;1;0;True;True;2022-03-11T05:51:37+01:00;48.87929591733507,2.3373600840568547;Paris;75109
10013;Alibert - Jemmapes;True;60;19;40;39;1;True;True;2022-03-11T05:59:24+01:00;48.8710440519842,2.366104461987773;Paris;75110
12109;Mairie du 12ème;True;30;0;30;22;8;True;True;2022-03-11T05:59:32+01:00;48.84085531176338,2.3875549435615544;Paris;75112
14111;Cassini - Denfert-Rochereau;True;25;23;2;1;1;True;True;2022-03-11T05:56:12+01:00;48.83752583906732,2.336035408079624;Paris;75114
5001;Harpe - Saint-Germain;True;45;33;10;10;0;True;True;2022-03-11T05:56:05+01:00;48.85151881501689,2.343670316040516;Paris;75105
13007;Le Brun - Gobelins;True;48;30;17;8;9;True;True;2022-03-11T06:00:48+01:00;48.835092787823875,2.353468135133752;Paris;75113
14014;Jourdan - Stade Charléty;True;60;37;23;15;8;True;True;2022-03-11T06:00:15+01:00;48.819428333369,2.3433353751898;Paris;75113
21010;Silly - Galliéni;True;25;13;11;5;6;True;True;2022-03-11T06:00:30+01:00;48.835583838705936,2.2325500845909123;Boulogne-Billancourt;92012
8026;Messine - Place Du Pérou;True;12;6;6;4;2;True;True;2022-03-11T05:58:25+01:00;48.875448033960744,2.315508019010038;Paris;75108
17041;Guersant - Gouvion-Saint-Cyr;True;36;11;25;19;6;True;True;2022-03-11T05:56:08+01:00;48.88287775178599,2.287667370814871;Paris;75117
6003;Saint-Sulpice;True;21;16;4;4;0;True;True;2022-03-11T06:00:17+01:00;48.85165383178419,2.3308077827095985;Paris;75106
7003;Square Boucicaut;True;60;57;3;0;3;True;True;2022-03-11T05:57:44+01:00;48.851296433665276,2.325061820447445;Paris;75107
