arrond;capacity;avail. bike
75101;768;619
75102;660;556
75103;389;272
75104;634;505
75105;1203;674
75106;1032;652
75107;1010;720
75108;1481;974
75109;1172;609
75110;1583;295
75111;1972;565
75112;2726;1187
75113;2320;845
75114;1783;184
75115;3342;1453
75116;2205;654
75117;2176;397
75118;1894;232
75119;1812;189
75120;1909;108
92004;180;75
92007;141;12
92009;84;35
92012;880;368
92014;55;15
92020;148;53
92022;62;26
92023;74;19
92024;400;165
92025;120;82
92026;193;53
92032;122;37
92035;128;29
92036;126;68
92040;495;323
92044;359;239
92046;238;51
92048;107;34
92049;283;59
92050;222;121
92051;378;166
92062;58;34
92063;195;79
92064;79;24
92071;90;22
92072;118;9
92073;264;29
92075;258;44
92077;24;2
93001;404;165
93006;208;11
93008;19;10
93045;233;8
93048;792;98
93053;58;25
93055;563;89
93061;42;4
93063;67;16
93064;124;58
93066;516;311
93070;269;144
94002;122;48
94003;120;31
94016;112;47
94017;121;71
94018;248;58
94022;79;34
94033;349;36
94037;119;38
94041;579;216
94042;124;70
94043;150;22
94046;180;90
94052;131;29
94067;119;20
94069;44;8
94076;254;17
94080;278;77
94081;482;153
95018;95;72
