arrond;capacity;avail. bike
75101;768;13
75102;660;1
75103;389;-4
75104;634;-4
75105;1203;47
75106;1032;10
75107;1010;1
75108;1481;-6
75109;1172;27
75110;1583;56
75111;1972;65
75112;2726;3
75113;2320;1
75114;1783;23
75115;3342;52
75116;2205;3
75117;2176;6
75118;1894;97
75119;1812;4
75120;1909;29
92004;180;3
92007;141;-1
92009;84;0
92012;880;9
92014;55;0
92020;148;2
92022;62;1
92023;74;-2
92024;400;-1
92025;120;1
92026;193;4
92032;122;0
92035;128;-3
92036;126;1
92040;495;0
92044;359;-9
92046;238;-3
92048;107;1
92049;283;0
92050;222;3
92051;378;3
92062;58;-1
92063;195;-1
92064;79;0
92071;90;3
92072;118;0
92073;264;-1
92075;258;-9
92077;24;0
93001;404;2
93006;208;2
93008;19;0
93045;233;-3
93048;792;2
93053;58;-1
93055;563;7
93061;42;1
93063;67;1
93064;124;1
93066;516;2
93070;269;2
94002;122;0
94003;120;-3
94016;112;1
94017;121;2
94018;248;-1
94022;79;0
94033;349;3
94037;119;2
94041;579;8
94042;124;-1
94043;150;0
94046;180;1
94052;131;-2
94067;119;1
94069;44;-1
94076;254;12
94080;278;0
94081;482;1
95018;95;-1
