arrond;capacity;avail. bike
75101;768;-8
75102;660;4
75103;389;9
75104;634;10
75105;1203;-4
75106;1032;-7
75107;1010;-4
75108;1481;-7
75109;1172;-7
75110;1583;35
75111;1972;23
75112;2726;-38
75113;2320;2
75114;1783;-6
75115;3342;17
75116;2205;-10
75117;2176;26
75118;1894;14
75119;1812;-7
75120;1909;39
92004;180;2
92007;141;1
92009;84;2
92012;880;-6
92014;55;1
92020;148;0
92022;62;1
92023;74;0
92024;400;3
92025;120;0
92026;193;-1
92032;122;-1
92035;128;-1
92036;126;1
92040;495;0
92044;359;-8
92046;238;-1
92048;107;0
92049;283;-4
92050;222;-1
92051;378;6
92062;58;2
92063;195;-1
92064;79;0
92071;90;-1
92072;118;1
92073;264;-1
92075;258;-1
92077;24;0
93001;404;4
93006;208;4
93008;19;0
93045;233;0
93048;792;0
93053;58;1
93055;563;3
93061;42;0
93063;67;-1
93064;124;1
93066;516;-4
93070;269;4
94002;122;0
94003;120;-1
94016;112;-2
94017;121;0
94018;248;4
94022;79;0
94033;349;5
94037;119;5
94041;579;11
94042;124;0
94043;150;4
94046;180;2
94052;131;1
94067;119;-1
94069;44;0
94076;254;-1
94080;278;-3
94081;482;-2
95018;95;0
