arrond;capacity;avail. bike
75101;768;509
75102;660;416
75103;389;297
75104;634;396
75105;1203;741
75106;1032;724
75107;1010;679
75108;1481;979
75109;1172;500
75110;1583;432
75111;1972;709
75112;2726;1459
75113;2320;967
75114;1783;172
75115;3342;1637
75116;2205;841
75117;2176;552
75118;1894;307
75119;1812;210
75120;1909;134
92004;180;86
92007;141;14
92009;84;28
92012;880;409
92014;55;14
92020;148;43
92022;62;31
92023;74;17
92024;400;225
92025;120;89
92026;193;56
92032;122;36
92035;128;23
92036;126;86
92040;495;312
92044;359;217
92046;238;36
92048;107;33
92049;283;44
92050;222;119
92051;378;168
92062;58;32
92063;195;83
92064;79;20
92071;90;22
92072;118;2
92073;264;24
92075;258;30
92077;24;2
93001;404;121
93006;208;21
93008;19;14
93045;233;7
93048;792;95
93053;58;27
93055;563;98
93061;42;1
93063;67;17
93064;124;49
93066;516;297
93070;269;129
94002;122;57
94003;120;25
94016;112;63
94017;121;72
94018;248;57
94022;79;33
94033;349;58
94037;119;44
94041;579;221
94042;124;75
94043;150;27
94046;180;99
94052;131;43
94067;119;27
94069;44;19
94076;254;28
94080;278;145
94081;482;180
95018;95;74
