arrond;capacity;avail. bike
75101;768;27
75102;660;13
75103;389;9
75104;634;-10
75105;1203;52
75106;1032;54
75107;1010;6
75108;1481;26
75109;1172;-5
75110;1583;2
75111;1972;-4
75112;2726;14
75113;2320;14
75114;1783;-14
75115;3342;1
75116;2205;29
75117;2176;21
75118;1894;-18
75119;1812;9
75120;1909;0
92004;180;-1
92007;141;1
92009;84;0
92012;880;9
92014;55;-2
92020;148;-3
92022;62;0
92023;74;2
92024;400;-4
92025;120;-2
92026;193;0
92032;122;-3
92035;128;-2
92036;126;0
92040;495;-7
92044;359;-11
92046;238;0
92048;107;1
92049;283;-5
92050;222;1
92051;378;-2
92062;58;1
92063;195;1
92064;79;-1
92071;90;2
92072;118;0
92073;264;-2
92075;258;-2
92077;24;-2
93001;404;-13
93006;208;-2
93008;19;0
93045;233;0
93048;792;-3
93053;58;0
93055;563;5
93061;42;1
93063;67;-1
93064;124;-1
93066;516;-1
93070;269;0
94002;122;-5
94003;120;0
94016;112;-1
94017;121;0
94018;248;-4
94022;79;0
94033;349;6
94037;119;-5
94041;579;7
94042;124;-2
94043;150;-5
94046;180;2
94052;131;-1
94067;119;-2
94069;44;-1
94076;254;-3
94080;278;-5
94081;482;-6
95018;95;1
