arrond;capacity;avail. bike
75101;768;-3
75102;660;-4
75103;389;-1
75104;634;1
75105;1203;-14
75106;1032;-16
75107;1010;-17
75108;1481;-25
75109;1172;0
75110;1583;5
75111;1972;45
75112;2726;19
75113;2320;-17
75114;1783;26
75115;3342;9
75116;2205;-22
75117;2176;29
75118;1894;-1
75119;1812;8
75120;1909;20
92004;180;4
92007;141;1
92009;84;1
92012;880;-2
92014;55;-1
92020;148;3
92022;62;0
92023;74;0
92024;400;-1
92025;120;-1
92026;193;2
92032;122;-1
92035;128;0
92036;126;-5
92040;495;6
92044;359;-8
92046;238;3
92048;107;0
92049;283;4
92050;222;0
92051;378;2
92062;58;-1
92063;195;-1
92064;79;3
92071;90;0
92072;118;0
92073;264;1
92075;258;-1
92077;24;0
93001;404;10
93006;208;2
93008;19;0
93045;233;-4
93048;792;8
93053;58;1
93055;563;-3
93061;42;1
93063;67;4
93064;124;-1
93066;516;-3
93070;269;5
94002;122;-5
94003;120;-1
94016;112;1
94017;121;1
94018;248;-4
94022;79;1
94033;349;0
94037;119;-2
94041;579;2
94042;124;-1
94043;150;-4
94046;180;-6
94052;131;2
94067;119;-4
94069;44;1
94076;254;-1
94080;278;-2
94081;482;1
95018;95;1
