arrond;capacity;avail. bike
75101;768;466
75102;660;410
75103;389;273
75104;634;369
75105;1203;713
75106;1032;720
75107;1010;698
75108;1481;963
75109;1172;459
75110;1583;461
75111;1972;685
75112;2726;1488
75113;2320;999
75114;1783;120
75115;3342;1707
75116;2205;844
75117;2176;594
75118;1894;282
75119;1812;286
75120;1909;120
92004;180;89
92007;141;20
92009;84;32
92012;880;421
92014;55;15
92020;148;35
92022;62;30
92023;74;21
92024;400;227
92025;120;88
92026;193;49
92032;122;35
92035;128;22
92036;126;89
92040;495;312
92044;359;216
92046;238;37
92048;107;38
92049;283;49
92050;222;115
92051;378;168
92062;58;33
92063;195;79
92064;79;26
92071;90;22
92072;118;3
92073;264;23
92075;258;36
92077;24;1
93001;404;150
93006;208;17
93008;19;15
93045;233;5
93048;792;92
93053;58;30
93055;563;88
93061;42;1
93063;67;17
93064;124;53
93066;516;291
93070;269;139
94002;122;52
94003;120;32
94016;112;59
94017;121;73
94018;248;65
94022;79;35
94033;349;58
94037;119;44
94041;579;238
94042;124;75
94043;150;30
94046;180;94
94052;131;46
94067;119;33
94069;44;28
94076;254;39
94080;278;139
94081;482;182
95018;95;73
