arrond;capacity;avail. bike
75101;768;23
75102;660;19
75103;389;6
75104;634;8
75105;1203;14
75106;1032;18
75107;1010;38
75108;1481;15
75109;1172;5
75110;1583;13
75111;1972;-15
75112;2726;4
75113;2320;17
75114;1783;17
75115;3342;4
75116;2205;-4
75117;2176;-7
75118;1894;-3
75119;1812;4
75120;1909;-14
92004;180;-1
92007;141;2
92009;84;1
92012;880;10
92014;55;1
92020;148;-1
92022;62;0
92023;74;-1
92024;400;0
92025;120;0
92026;193;-1
92032;122;0
92035;128;0
92036;126;-2
92040;495;6
92044;359;8
92046;238;-1
92048;107;1
92049;283;-3
92050;222;0
92051;378;3
92062;58;-2
92063;195;2
92064;79;0
92071;90;0
92072;118;-1
92073;264;2
92075;258;-3
92077;24;0
93001;404;-3
93006;208;-4
93008;19;0
93045;233;2
93048;792;2
93053;58;0
93055;563;-16
93061;42;0
93063;67;0
93064;124;1
93066;516;-4
93070;269;0
94002;122;2
94003;120;-4
94016;112;-1
94017;121;0
94018;248;-3
94022;79;1
94033;349;-2
94037;119;-2
94041;579;3
94042;124;3
94043;150;-3
94046;180;-1
94052;131;0
94067;119;10
94069;44;0
94076;254;0
94080;278;-14
94081;482;-6
95018;95;0
