arrond;capacity;avail. bike
75101;768;418
75102;660;349
75103;389;293
75104;634;388
75105;1203;595
75106;1032;549
75107;1010;566
75108;1481;759
75109;1172;428
75110;1583;468
75111;1972;805
75112;2726;1517
75113;2320;886
75114;1783;251
75115;3342;1631
75116;2205;753
75117;2176;549
75118;1894;335
75119;1812;317
75120;1909;235
92004;180;99
92007;141;16
92009;84;33
92012;880;374
92014;55;13
92020;148;35
92022;62;33
92023;74;14
92024;400;211
92025;120;96
92026;193;60
92032;122;39
92035;128;25
92036;126;70
92040;495;319
92044;359;149
92046;238;42
92048;107;38
92049;283;41
92050;222;108
92051;378;132
92062;58;32
92063;195;80
92064;79;24
92071;90;25
92072;118;8
92073;264;19
92075;258;26
92077;24;1
93001;404;100
93006;208;18
93008;19;11
93045;233;6
93048;792;123
93053;58;26
93055;563;88
93061;42;4
93063;67;25
93064;124;55
93066;516;251
93070;269;140
94002;122;60
94003;120;20
94016;112;51
94017;121;72
94018;248;67
94022;79;36
94033;349;76
94037;119;56
94041;579;218
94042;124;69
94043;150;26
94046;180;97
94052;131;38
94067;119;26
94069;44;22
94076;254;20
94080;278;82
94081;482;188
95018;95;75
