arrond;capacity;avail. bike;ratio_pop;ratio_pop_log2;ratio_pop_log10;ratio_avail;ratio_avail_glob;ratio_avail_log2;ratio_avail_log10
75101;768;451;0.025625;0.03650333373898806;0.010988598397168434;0.5872395833333334;0.01003270082085734;0.666519909899056;0.20064248558686995
75102;660;381;0.01700892857142857;0.024332345025480276;0.007324765717514821;0.5772727272727273;0.008475518875269726;0.6574321390536012;0.19790679396866745
75103;389;306;0.008571428571428572;0.012313261438851635;0.0037066610375469746;0.7866323907455013;0.006807109647854426;0.8372428226246779;0.25203520326440615
75104;634;465;0.01648936170212766;0.023595116412456693;0.0071028377913329695;0.7334384858044164;0.010344137209974862;0.7936366408098238;0.23890843454175784
75105;1203;585;0.00951219512195122;0.013658338837482277;0.004111569681024475;0.486284289276808;0.013013591973839344;0.5717100940072413;0.17210188712005414
75106;1032;519;0.012041763341067286;0.01726882612100192;0.005198434652327254;0.502906976744186;0.01154539185371388;0.5877557156128367;0.1769321005224124
75107;1010;446;0.007770034843205575;0.011166464788221309;0.0033614408467802595;0.4415841584158416;0.009921473539029653;0.5276550625595391;0.15884000119437577
75108;1481;425;0.01054590570719603;0.015134859997550218;0.004556046839437505;0.28696826468602293;0.009454318955353369;0.3639764786210942;0.10956783778109913
75109;1172;458;0.007595356550580431;0.010916378617020451;0.0032861574077480437;0.39078498293515357;0.010188419015416101;0.47589939469619197;0.14325999272188594
75110;1583;599;0.006246089676746611;0.00898317685217167;0.002704205688858014;0.37839545167403665;0.013325028362956867;0.4629898461864261;0.13937383138996715
75111;1972;1137;0.007445972495088409;0.01070247170272096;0.003221765010263972;0.5765720081135902;0.025293083887615954;0.6567910649631526;0.1977138114379994
75112;2726;1501;0.010503848845346397;0.015074816719646961;0.004537972011750636;0.5506236243580338;0.03339043000467155;0.6328485502255833;0.19050639633036412
75113;2320;876;0.004813186813186814;0.0069273028863192886;0.00208532595783178;0.3775862068965517;0.019487019776210708;0.4621426029130422;0.13911878575105407
75114;1783;287;0.0020918367346938775;0.003014730419741909;0.0009075242851829791;0.160964666292765;0.006384445976909217;0.21532406476169275;0.06481900228156318
75115;3342;1818;0.0076871035940803386;0.011047737875469647;0.0033257004847494285;0.5439856373429084;0.040442239672546884;0.6266593322494285;0.1886432560698388
75116;2205;683;0.004031877213695395;0.005805074436144384;0.001747501532341632;0.30975056689342406;0.015193646697662003;0.38929208644228797;0.11718859509374413
75117;2176;592;0.003513353115727003;0.005059813856154462;0.0015231557431787297;0.27205882352941174;0.013169310168398105;0.3471653863863851;0.10450719475857788
75118;1894;577;0.002876370887337986;0.004143769359004177;0.0012473988721735656;0.30464625131995776;0.012835628322915045;0.38365867986039937;0.11549277073482477
75119;1812;343;0.001856060606060606;0.002675247488514047;0.0008053297398674601;0.18929359823399558;0.0076301915333793074;0.25010491393022544;0.07528908115595614
75120;1909;375;0.001902587519025875;0.0027422457237333536;0.0008254982183250224;0.1964379256155055;0.008342046137076502;0.2587455479589052;0.07789017118014367
92004;180;118;0.001446078431372549;0.0020847431936229493;0.0006275702345368307;0.6555555555555556;0.002624963851133406;0.7273154241324867;0.21894375897294915
92007;141;25;0.0006493506493506494;0.000936510932521474;0.0002819178819562103;0.1773049645390071;0.0005561364091384335;0.23548807894813112;0.07088897538467517
92009;84;34;0.0012056737588652482;0.0017383718086634989;0.0005233020580243602;0.40476190476190477;0.0007563455164282696;0.4903256265830809;0.1476027212442437
92012;880;381;0.0033687002652519893;0.004851839550897742;0.0014605492389690798;0.4329545454545455;0.008475518875269726;0.5189928468035604;0.15623241442291305
92014;55;15;0.0007575757575757576;0.001092537001011815;0.00032888640867732567;0.2727272727272727;0.0003336818454830601;0.3479233034203068;0.10473535052001297
92020;148;34;0.0010493827160493827;0.001513145444884678;0.00045550216671260747;0.22972972972972974;0.0007563455164282696;0.2983412745697466;0.08980967259011743
92022;62;30;0.0016129032258064516;0.0023250529462439857;0.0006999106783263537;0.4838709677419355;0.0006673636909661202;0.5693656456701377;0.1713961378473014
92023;74;14;0.0002661596958174905;0.0003839361813381203;0.00011557630700345985;0.1891891891891892;0.00031143638911752277;0.24997825300834756;0.07525095241919245
92024;400;213;0.0036597938144329895;0.005270328101530227;0.0015865268455514025;0.5325;0.0047382822058594535;0.6158870739160568;0.18540048319045263
92025;120;98;0.0011583924349881796;0.0016702398114424965;0.0005027922831963435;0.8166666666666667;0.002180054723822659;0.8612937291684079;0.25927524755698
92026;193;63;0.0007249712313003452;0.0010455334551224677;0.0003147369314620637;0.32642487046632124;0.0014014637510288523;0.40754296273191964;0.12268265630407582
92032;122;38;0.0016033755274261602;0.0023113294523302345;0.0006957794950130025;0.3114754098360656;0.0008453273418904189;0.3911907573244762;0.11776015198117659
92035;128;26;0.000959409594095941;0.0013834719115400278;0.00041646654353213433;0.203125;0.0005783818655039708;0.2667865406949014;0.0803107511885947
92036;126;80;0.001932367149758454;0.00278512642653805;0.0008384065961043886;0.6349206349206349;0.0017796365092429872;0.7092206036833019;0.2134966752515905
92040;495;306;0.00478125;0.0068814477812628606;0.0020715221957554714;0.6181818181818182;0.006807109647854426;0.6943737174417381;0.20902731715066894
92044;359;140;0.0022082018927444794;0.003182249686723095;0.0009579526093959588;0.38997214484679665;0.0031143638911752276;0.4750559715142091;0.14300609704507072
92046;238;48;0.0015483870967741935;0.002232122736486024;0.0006719358976858615;0.20168067226890757;0.0010677819055457923;0.26505357347044584;0.07978907607253102
92048;107;46;0.001029082774049217;0.001483889223253086;0.0004466951664417048;0.42990654205607476;0.0010232909928147176;0.5159208562915049;0.15530765313238917
92049;283;27;0.0005578512396694215;0.0008045848185651015;0.00024220416444395757;0.09540636042402827;0.0006006273218695081;0.13146616244235526;0.039575258309982445
92050;222;104;0.0011555555555555555;0.0016661517892886627;0.0005015616659051006;0.46846846846846846;0.002313527462015883;0.5543122878809716;0.1668646256173004
92051;378;132;0.002181818181818182;0.003144269404907188;0.0009465194053255994;0.3492063492063492;0.0029364002402509286;0.4321110126377854;0.13007837626071106
92062;58;32;0.0007126948775055679;0.0010278351425143126;0.000309409208494371;0.5517241379310345;0.0007118546036971948;0.6338721012021026;0.19081451587638756
