Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
SudRadio;Candidat;00:00:00;00:00:18;00:00:10;00:00:00;
SudRadio;Soutiens;00:13:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:13:00;00:00:18;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:14:38;00:01:08;00:00:10;00:00:00;
TV5Monde;Candidat;00:00:08;00:00:00;00:07:31;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:00:08;00:00:00;00:07:31;00:00:00;
TV5Monde;"Total temps d'antenne";00:01:13;00:00:56;00:09:33;00:00:00;
RFI;Candidat;00:01:54;00:06:07;00:00:47;00:01:59;
RFI;Soutiens;00:09:19;00:00:24;00:00:00;00:00:00;
RFI;"Total temps de parole";00:11:13;00:06:31;00:00:47;00:01:59;
RFI;"Total temps d'antenne";00:13:35;00:10:08;00:03:02;00:06:48;
France24;Candidat;00:01:57;00:02:27;00:00:24;00:01:18;
France24;Soutiens;00:00:00;00:00:28;00:00:56;00:00:00;
France24;"Total temps de parole";00:01:57;00:02:55;00:01:20;00:01:18;
France24;"Total temps d'antenne";00:04:02;00:12:12;00:06:22;00:04:11;
"RMC Story";Candidat;00:00:20;00:01:08;00:00:00;00:00:00;
"RMC Story";Soutiens;00:13:37;00:00:05;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:13:57;00:01:13;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:20:05;00:02:53;00:00:00;00:00:00;
