club_name,age
AC Ajaccio,26.256410256410255
AS Monaco,23.46551724137931
AS Saint-Étienne,23.085714285714285
EA Guingamp,24.857142857142858
FC Girondins Bordeaux,25.045454545454547
FC Lorient,22.678571428571427
FC Nantes,26.35
FC Sochaux-Montbéliard,24.033333333333335
FC Toulouse,24.26923076923077
FC Évian Thonon Gaillard,24.470588235294116
LOSC Lille,23.0
Montpellier HSC,24.56
OGC Nice,23.2
Olympique Lyon,23.59090909090909
Olympique Marseille,22.964285714285715
Paris Saint-Germain,24.314285714285713
SC Bastia,26.027027027027028
Stade Reims,23.68421052631579
Stade Rennais FC,23.813953488372093
Valenciennes FC,24.863636363636363
