club_name,age
Arsenal FC,21.074074074074073
Aston Villa,24.08108108108108
Birmingham City,23.85185185185185
Blackburn Rovers,22.635135135135137
Bolton Wanderers,22.205128205128204
Burnley FC,22.115384615384617
Chelsea FC,22.178571428571427
Everton FC,23.93548387096774
Fulham FC,24.215686274509803
Hull City,24.377777777777776
Liverpool FC,22.543478260869566
Manchester City,24.22
Manchester United,21.21951219512195
Portsmouth FC,24.26865671641791
Stoke City,23.916666666666668
Sunderland AFC,25.25
Tottenham Hotspur,21.37878787878788
West Ham United,24.24
Wigan Athletic,24.75
Wolverhampton Wanderers,23.0
