
Election présidentielle 2022
Période du 8 au 13 mars 2022
Temps de parole sur MACRON EMMANUEL

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
RMC;"Total temps de parole";00:06:25;00:02:25;00:00:00;00:14:34;
RMC;"Total temps d'antenne";00:12:23;00:09:51;00:00:00;00:25:57;
BFMBusiness;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
BFMBusiness;Soutiens;00:01:34;00:00:00;00:14:24;00:07:29;
BFMBusiness;"Total temps de parole";00:01:34;00:00:00;00:14:24;00:07:29;
BFMBusiness;"Total temps d'antenne";00:10:45;00:12:32;00:16:49;00:21:10;
RadioClassique;Candidat;00:00:31;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:00:31;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps d'antenne";00:20:09;00:00:37;00:00:00;00:13:59;
SudRadio;Candidat;00:02:10;00:00:00;00:00:00;00:00:00;
SudRadio;Soutiens;00:23:45;00:02:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:25:55;00:02:00;00:00:00;00:00:00;
SudRadio;"Total temps d'antenne";00:49:35;00:08:38;00:05:00;00:00:00;
TV5Monde;Candidat;00:00:06;00:00:00;00:00:18;00:00:00;
TV5Monde;Soutiens;00:09:50;00:00:00;00:00:21;00:00:00;
TV5Monde;"Total temps de parole";00:09:56;00:00:00;00:00:39;00:00:00;
TV5Monde;"Total temps d'antenne";00:14:49;00:00:44;00:06:25;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:01:05;
RFI;Candidat;00:00:38;00:00:00;00:00:00;00:00:00;
RFI;Soutiens;00:00:00;00:00:22;00:00:00;00:00:00;
RFI;"Total temps de parole";00:00:38;00:00:22;00:00:00;00:00:00;
RFI;"Total temps d'antenne";00:04:00;00:01:10;00:00:00;00:00:00;
France24;Candidat;00:00:00;00:01:25;00:00:00;00:04:18;
France24;Soutiens;00:01:14;00:00:37;00:00:00;00:05:33;
France24;"Total temps de parole";00:01:14;00:02:02;00:00:00;00:09:51;
France24;"Total temps d'antenne";00:03:42;00:18:14;00:00:00;00:19:53;
"RMC Story";Candidat;00:02:08;00:00:34;00:00:00;00:00:00;
"RMC Story";Soutiens;00:04:15;00:00:48;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:06:23;00:01:22;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:15:01;00:08:48;00:00:00;00:00:00;
