
Election présidentielle 2022
Période du 28 mars au 3 avril 2022
Temps de parole sur PECRESSE VALERIE

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
RadioClassique;"Total temps d'antenne";00:08:59;00:00:25;00:00:00;00:07:58;
SudRadio;Candidat;00:00:00;00:00:18;00:00:10;00:00:00;
SudRadio;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:00:00;00:00:18;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:00:20;00:01:03;00:00:10;00:00:00;
TV5Monde;Candidat;00:00:00;00:00:00;00:07:31;00:00:00;
TV5Monde;Soutiens;00:09:46;00:00:00;00:00:10;00:00:00;
TV5Monde;"Total temps de parole";00:09:46;00:00:00;00:07:41;00:00:00;
TV5Monde;"Total temps d'antenne";00:10:38;00:00:13;00:10:10;00:00:00;
RFI;Candidat;00:00:50;00:00:34;00:01:34;00:01:31;
RFI;Soutiens;00:09:12;00:00:00;00:00:00;00:00:12;
RFI;"Total temps de parole";00:10:02;00:00:34;00:01:34;00:01:43;
RFI;"Total temps d'antenne";00:13:12;00:04:34;00:04:40;00:04:24;
France24;Candidat;00:02:25;00:03:27;00:03:49;00:01:10;
France24;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France24;"Total temps de parole";00:02:25;00:03:27;00:03:49;00:01:10;
France24;"Total temps d'antenne";00:04:04;00:18:58;00:17:25;00:01:53;
"RMC Story";Candidat;00:00:34;00:00:17;00:00:00;00:00:00;
"RMC Story";Soutiens;00:10:27;00:00:10;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:11:01;00:00:27;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:14:42;00:04:55;00:00:00;00:00:00;
