
Election présidentielle 2022
Période du 8 au 27 mars 2022
Temps de parole sur PECRESSE VALERIE

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
RMC;"Total temps de parole";01:02:27;01:03:42;00:00:00;01:04:09;
RMC;"Total temps d'antenne";01:10:56;01:26:26;00:00:00;01:29:11;
BFMBusiness;Candidat;00:02:09;00:00:52;00:05:18;00:02:05;
BFMBusiness;Soutiens;00:00:00;00:00:00;00:22:22;00:11:11;
BFMBusiness;"Total temps de parole";00:02:09;00:00:52;00:27:40;00:13:16;
BFMBusiness;"Total temps d'antenne";00:15:17;00:24:08;00:43:14;00:32:02;
RadioClassique;Candidat;00:01:29;00:00:00;00:00:00;00:00:26;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:01:29;00:00:00;00:00:00;00:00:26;
RadioClassique;"Total temps d'antenne";00:46:26;00:02:38;00:01:00;00:44:49;
SudRadio;Candidat;00:00:55;00:00:09;00:02:50;00:00:00;
SudRadio;Soutiens;00:59:49;00:20:30;00:02:30;00:00:00;
SudRadio;"Total temps de parole";01:00:44;00:20:39;00:05:20;00:00:00;
SudRadio;"Total temps d'antenne";01:04:01;00:31:19;00:05:20;00:00:00;
TV5Monde;Candidat;00:01:27;00:00:00;00:43:36;00:00:00;
TV5Monde;Soutiens;00:27:14;00:08:36;00:27:43;00:00:00;
TV5Monde;"Total temps de parole";00:28:41;00:08:36;01:11:19;00:00:00;
TV5Monde;"Total temps d'antenne";00:31:06;00:09:53;01:22:26;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:01:50;00:00:50;00:01:15;
RFI;Candidat;00:02:15;00:02:51;00:04:38;00:00:54;
RFI;Soutiens;00:10:01;00:05:18;00:20:56;00:00:44;
RFI;"Total temps de parole";00:12:16;00:08:09;00:25:34;00:01:38;
RFI;"Total temps d'antenne";00:20:46;00:12:51;00:29:02;00:03:30;
France24;Candidat;00:01:59;00:02:29;00:02:48;00:01:21;
France24;Soutiens;00:00:00;00:01:57;00:17:07;00:03:20;
France24;"Total temps de parole";00:01:59;00:04:26;00:19:55;00:04:41;
France24;"Total temps d'antenne";00:02:40;00:07:54;00:30:28;00:11:59;
"RMC Story";Candidat;00:07:48;00:43:36;00:00:00;00:00:00;
"RMC Story";Soutiens;00:14:29;00:17:16;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:22:17;01:00:52;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:34:03;01:23:26;00:00:00;00:00:00;
