club_name,age
AC Milan,24.03448275862069
AC Siena,24.054545454545455
ACF Fiorentina,22.0
AS Livorno,27.38235294117647
AS Roma,23.42105263157895
Atalanta BC,24.958333333333332
Cagliari Calcio,24.82608695652174
Calcio Catania,25.4
Empoli FC,22.904761904761905
FC Internazionale,22.133333333333333
Genoa CFC,24.294117647058822
Juventus FC,23.620689655172413
Parma FC,24.3265306122449
Reggina Calcio,23.48
SS Lazio,24.70967741935484
SSC Napoli,23.9375
Torino FC,27.853658536585368
UC Sampdoria,23.891304347826086
US Palermo,24.147058823529413
Udinese Calcio,22.470588235294116
