club_name,age
1.FC Nuremberg,26.37037037037037
Arminia Bielefeld,25.666666666666668
Bayer 04 Leverkusen,24.82608695652174
Bayern Munich,25.44
Borussia Dortmund,26.142857142857142
Eintracht Frankfurt,25.3125
FC Energie Cottbus,25.1875
FC Hansa Rostock,25.217391304347824
FC Schalke 04,24.2
Hamburger SV,22.551724137931036
Hannover 96,24.44
Hertha BSC,23.833333333333332
Karlsruher SC,24.941176470588236
MSV Duisburg,27.060606060606062
SV Werder Bremen,22.5
VfB Stuttgart,25.333333333333332
VfL Bochum,26.323529411764707
VfL Wolfsburg,25.125
