club_name,age
AC Ajaccio,25.19047619047619
AJ Auxerre,23.2
AS Nancy-Lorraine,25.314285714285713
AS Saint-Étienne,25.476190476190474
Dijon FCO,24.026315789473685
FC Girondins Bordeaux,23.774193548387096
FC Lorient,24.571428571428573
FC Sochaux-Montbéliard,23.84
FC Toulouse,23.608695652173914
FC Évian Thonon Gaillard,25.866666666666667
LOSC Lille,25.10810810810811
Montpellier HSC,24.61904761904762
OGC Nice,25.666666666666668
Olympique Lyon,22.238095238095237
Olympique Marseille,25.65625
Paris Saint-Germain,26.09090909090909
SM Caen,22.875
Stade Brestois 29,25.73076923076923
Stade Rennais FC,24.08695652173913
Valenciennes FC,24.75
