club_name,age
AC Milan,24.585365853658537
ACF Fiorentina,24.614035087719298
AS Roma,25.232558139534884
Atalanta BC,22.464788732394368
Benevento Calcio,25.794117647058822
Bologna FC 1909,23.194444444444443
Cagliari Calcio,26.06382978723404
FC Crotone,24.607843137254903
Genoa CFC,23.50561797752809
Hellas Verona,24.91780821917808
Inter Milan,24.294117647058822
Juventus FC,24.193548387096776
Parma FC,24.246753246753247
SS Lazio,25.45945945945946
SSC Napoli,24.558139534883722
Spezia Calcio,24.458333333333332
Torino FC,23.82051282051282
UC Sampdoria,23.903846153846153
US Sassuolo,22.862745098039216
Udinese Calcio,24.46511627906977
