club_name,age
AS Monaco,23.546875
AS Saint-Étienne,23.51063829787234
Dijon FCO,23.242424242424242
FC Girondins Bordeaux,22.62962962962963
FC Lorient,24.425
FC Metz,23.181818181818183
FC Nantes,24.375
LOSC Lille,23.666666666666668
Montpellier HSC,23.5
Nîmes Olympique,23.210526315789473
OGC Nice,21.6
Olympique Lyon,24.2
Olympique Marseille,24.833333333333332
Paris Saint-Germain,23.419354838709676
RC Lens,24.193548387096776
RC Strasbourg Alsace,25.933333333333334
SCO Angers,24.322580645161292
Stade Brestois 29,24.096774193548388
Stade Reims,23.043478260869566
Stade Rennais FC,23.07894736842105
