club_name,age
Athletic Bilbao,24.272727272727273
Atlético de Madrid,24.926829268292682
CA Osasuna,24.307692307692307
Celta de Vigo,25.48
Deportivo de La Coruña,25.456521739130434
FC Barcelona,27.5
Getafe CF,26.192307692307693
Gimnàstic de Tarragona,26.976744186046513
Levante UD,28.20689655172414
RCD Espanyol Barcelona,25.541666666666668
RCD Mallorca,25.08823529411765
Racing Santander,25.6875
Real Betis Balompié,26.0
Real Madrid,24.733333333333334
Real Sociedad,25.93103448275862
Real Zaragoza,26.333333333333332
Recreativo Huelva,26.323529411764707
Sevilla FC,25.115384615384617
Valencia CF,25.944444444444443
Villarreal CF,25.115384615384617
