club_name,age
FC Kaiserslautern,26.79310344827586
FC Nuremberg,26.733333333333334
FSV Mainz 05,25.38095238095238
Arminia Bielefeld,23.785714285714285
Bayer 04 Leverkusen,24.076923076923077
Bayern Munich,25.555555555555557
Borussia Dortmund,24.0
Borussia Mönchengladbach,28.194444444444443
FC Hansa Rostock,27.125
FC Schalke 04,25.64
Hamburger SV,23.903225806451612
Hannover 96,25.81578947368421
Hertha BSC,23.545454545454547
SC Freiburg,23.4
SV Werder Bremen,25.76
VfB Stuttgart,23.6
VfL Bochum,25.375
VfL Wolfsburg,24.263157894736842
