club_name,age
Athletic Bilbao,23.857142857142858
Atlético de Madrid,24.77777777777778
CA Osasuna,26.366666666666667
Celta de Vigo,25.863636363636363
Cádiz CF,25.983606557377048
Deportivo Alavés,24.622222222222224
Elche CF,27.68421052631579
FC Barcelona,23.11764705882353
Getafe CF,25.22222222222222
Granada CF,25.653846153846153
Levante UD,24.96551724137931
Real Betis Balompié,24.733333333333334
Real Madrid,22.294117647058822
Real Sociedad,26.5
Real Valladolid CF,25.26923076923077
SD Eibar,26.5
SD Huesca,24.923076923076923
Sevilla FC,25.48780487804878
Valencia CF,24.62962962962963
Villarreal CF,24.818181818181817
